Name,Type
Information Technology & People ,Journal
ACM ,Journal
Public Administrative Review ,Journal
American psychologist ,Journal
"Knowledge: Creation, Diffusion, Utilization ",Journal
Work Occup ,Journal
Computer Law & Security Review ,Journal
Business Intelligence Journal ,Journal
"Accounting, Organisations and Society ",Journal
Daedalus ,Journal
PACIS ,Journal
Buffalo Law Rev ,Journal
International journal of project management ,Journal
Annales de Chimie et de Physique ,Journal
Procedia – Social and Behavioural Sciences ,Journal
Computing Surveys ,Journal
Issues in Information Systems  ,Journal
Organizational Behavior and Human Decision Process ,Journal
Journal of the Association of Information Systems ,Journal
Physica A ,Journal
Systems Research ,Journal
Strategic Information Systems ,Journal
IS Audit and Control Journal ,Journal
Office of Government Commerce Journal ,Journal
Journal of Economic Behavior & Organization ,Journal
Computers & Security ,Journal
Accouting Horizons ,Journal
Telemedicine and e-Health ,Journal
Information Processing & Management ,Journal
HEALTHMED ,Journal
R&D Management ,Journal
Journal of Developmental Entrepreneur ,Journal
Transportation Res. Part E: Logist ,Journal
Journal of Commerce & Management Thought ,Journal
The American journal of medical technology ,Journal
Annals of Software Engineering ,Journal
Strategy & Leadership ,Journal
Entrepreneurship: Theory & Practice ,Journal
Journal of Information Technology ,Journal
Engineering Management Journal ,Journal
Journal of MIS ,Journal
Database Programming and Design ,Journal
Engineering Education ,Journal
Journal of Economic Innovation and New Technologies ,Journal
Culture & Society ,Journal
Ephemera ,Journal
Journal of the American Society for Information Science & Technology ,Journal
Journal of Visual Language and Computing ,Journal
Canadian Military Journal  ,Journal
Information Processing & Management ,Journal
Globalization & Health ,Journal
BI Congress ,Journal
American Documentation ,Journal
Nature Review: Neuroscience ,Journal
Technology Analysis & Strategic Management ,Journal
Economy Informatics ,Journal
Communication of the AIS ,Journal
Information & Culture: A Journal of History ,Journal
Journal of Product & Brand Management ,Journal
Strategic HR Review ,Journal
Journal of Customer & Contact Centre Management ,Journal
Journal of the American Medical Informatics Association ,Journal
Mississippi Law Journal ,Journal
Sosiologisk Tidsskrift ,Journal
Health Management Technology ,Journal
Kritike ,Journal
"Theory, Culture & Society ",Journal
Distinktion ,Journal
Wake Forest Law Review ,Journal
San Diego Law Review ,Journal
Planning and Changing ,Journal
Journal of Negro Education ,Journal
SAM Advanced Management Journal ,Journal
"Accounting, Management and Information Technology ",Journal
Information Strategy: the Executive’s Journal ,Journal
Global Finance ,Journal
IIE Solutions ,Journal
Economica ,Journal
Academy of Management ,Journal
Technometrics ,Journal
Marketing Research ,Journal
Fujitsu Science and Technology Journal ,Journal
Computers & Mathematics with Applications ,Journal
Journal of Network and Computer Application ,Journal
Journal of American Statistics Association ,Journal
Sociological Methods & Research ,Journal
"Availability, Reliability and Security ",Journal
IBM Systems Journal ,Journal
Grid Computing Environments Workshop ,Journal
Journal of Internet Banking & Commerce ,Journal
Managed Healthcare Executive ,Journal
Journal of Accountancy ,Journal
Journal of Economic Behavior & Organization ,Journal
Managing Service Quality ,Journal
CPA Journal ,Journal
Industrial & Labor Relations Review ,Journal
Journal of InformationSystemManagement ,Journal
Information Systems Security ,Journal
Journal of Organizational Computing ,Journal
Manufacturing & Service Operations Management ,Journal
Journal of The American Society for Infor-mation Science and Technology ,Journal
IUP Journal of Managerial Economics ,Journal
Fibres & Textiles in Easter Europe ,Journal
The Bell Journal of Economics ,Journal
Information System Frontiers ,Journal
"Journal of Law, Economics, & Organization ",Journal
Journal or Organizational Computing ,Journal
Telematics and Information ,Journal
Systems Dynamics Review ,Journal
Managing service Quality ,Journal
Economía Industrial ,Journal
Integrated Manufacturing Systems ,Journal
Business Communications Review ,Journal
Systèmes d'Information et Management ,Journal
European Journal of Information System ,Journal
The Business Review ,Journal
Journal of Organizational Computing ,Journal
"Accounting, Management and Information Technology ",Journal
Advances in Strategic Management ,Journal
Computers & Education ,Journal
Research Journal of the Institute for Public Relations ,Journal
Public Relations Journal ,Journal
Direct Marketing ,Journal
Journal of the Market Research Society ,Journal
The Electronic Journal Information ,Journal
EECS ,Journal
Organizational Behavior & Human Decision Processes ,Journal
Journal of the American Medical Association ,Journal
The Joint Commission Journal on Quality Improvement ,Journal
Journal of the American Medical Association ,Journal
Administration and Policy in Mental Health ,Journal
Mathematical and Computer Modelling ,Journal
Reliablity Engineering & System Safety ,Journal
Journal of Economic Behaviour and Organization ,Journal
Journal of Construction Engineering and Management ,Journal
The Learning Organisation ,Journal
Software Process Improvement and Practice ,Journal
Communications Research ,Journal
Issues in Information Systems ,Journal
Advances in Strategic Management ,Journal
World Future ,Journal
Information Systems Control Journal ,Journal
Decision Science ,Journal
Economic Science Series ,Journal
Revista Española de Financiación y Contabilidad ,Journal
Journal of Human Resource Costing and Accounting ,Journal
JournalofUsability Studies ,Journal
Quality & Safety in Health Care ,Journal
Eur. J. Oper. Res. ,Journal
Management Review ,Journal
Holland Management Review ,Journal
Public Productivity and Management Review ,Journal
Business Strategy Review ,Journal
Safety Sci. ,Journal
Quality in Health Care ,Journal
Total Quality Management & Business Excellence ,Journal
Accident Analysis & Prevention ,Journal
Journal of Construction Engineering and Management ,Journal
Information Systems Review ,Journal
Management Accounting Quarterly ,Journal
Entrepreneurship & Regional Development ,Journal
Software Process Improvement and Practice ,Journal
Quality Assurance ,Journal
Journal of Enterprising Culture ,Journal
Psychatric Services ,Journal
Electronic Journal of E-Government ,Journal
Debt Cubed ,Journal
Academy of Management Perspective ,Journal
Turkish J. Electronic Engrg. ,Journal
Admin. Sci. Quart. ,Journal
"Academy of Organizational Culture, Communications and Conflict ",Journal
annual meeting of the American Psychological Association ,Journal
Information Management & Computer Security ,Journal
Information & Management ,Journal
Addictive Behavior ,Journal
Behavior & Information Technology ,Journal
"Accounting, Management & Information Technology ",Journal
Social Behaviour and Personality ,Journal
Psychological Monographs ,Journal
The Clinical Supervisor ,Journal
Procedia Technology ,Journal
Information Security Technical Report ,Journal
Network Security ,Journal
Deviant Behavior ,Journal
Computers in Education ,Journal
Human-Computer Studies ,Journal
American Social Review ,Journal
Educational Technology: Theory and Practice ,Journal
Human Resources Development International ,Journal
Psychodynamic Counseling ,Journal
IEEE ,Journal
Academy of Man. Rev. ,Journal
Collegiate Microcomputer ,Journal
Western Criminology Review ,Journal
Review of Business ,Journal
Behavioural Information Technology ,Journal
American Behavioural Scientist ,Journal
Behavioural Information Technology ,Journal
Communications of ,Journal
Human Relation ,Journal
Cornell Hotel and Restaurant Administration Quarterly ,Journal
Computers in Human Behaviour ,Journal
J. MIS ,Journal
Monthly Labour Review ,Journal
Biometrika ,Journal
Computers and Society ,Journal
Computer in Human Behavior ,Journal
MIS Q. ,Journal
Man. Sci. ,Journal
Business Strategy Series ,Journal
Behaviour and Information Technology ,Journal
J. Manage. Info. Syst. ,Journal
Proceedings of IEEE NORTHCON/94 Conference ,Journal
Cyber Psychology and Behaviour ,Journal
MIS Quarterly ,Journal
Commun. ACM ,Journal
Computer & Security ,Journal
Proceeding ,Journal
Conference ,Journal
