Name,Type
Ca-A Cancer Journal for Clinicians,journal
MMWR Recommendations and Reports,journal
Nature Reviews Molecular Cell Biology,journal
Quarterly Journal of Economics,journal
Nature Reviews Materials,journal
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",journal
Cell,journal
Nature Reviews Genetics,journal
Reviews of Modern Physics,journal
Journal of Political Economy,journal
Nature Reviews Immunology,journal
Chemical Reviews,journal
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,journal
New England Journal of Medicine,journal
Nature Energy,journal
Nature Reviews Cancer,journal
Nature Medicine,journal
Nature Methods,journal
Nature Genetics,journal
Academy of Management Annals,journal
Annual Review of Immunology,journal
Journal of Finance,journal
American Economic Review,journal
Annual Review of Biochemistry,journal
Econometrica,journal
Nature Reviews Chemistry,journal
Nature,journal
Review of Economic Studies,journal
Chemical Society Reviews,journal
World Psychiatry,journal
Nature Biotechnology,journal
Administrative Science Quarterly,journal
Energy and Environmental Science,journal
Nature Materials,journal
Nature Catalysis,journal
Nature Nanotechnology,journal
Immunity,journal
Physiological Reviews,journal
Nature Photonics,journal
"Lancet Oncology, The",journal
Nature Neuroscience,journal
"Lancet, The",journal
Cancer Cell,journal
American Economic Journal: Applied Economics,journal
Review of Financial Studies,journal
"Lancet Neurology, The",journal
Molecular Cell,journal
Science,journal
Joule,journal
Nature Reviews Clinical Oncology,journal
Journal of Economic Literature,journal
Annual Review of Plant Biology,journal
Journal of Financial Economics,journal
Nature Reviews Neuroscience,journal
Living Reviews in Relativity,journal
Nature Reviews Microbiology,journal
Nature Cell Biology,journal
Academy of Management Journal,journal
Annual Review of Cell and Developmental Biology,journal
Strategic Management Journal,journal
Annual Review of Genetics,journal
Astronomy and Astrophysics Review,journal
Psychological Bulletin,journal
Nature Reviews Disease Primers,journal
Advanced Materials,journal
Journal of Clinical Oncology,journal
Annual Review of Physiology,journal
American Economic Journal: Macroeconomics,journal
Annual Review of Psychology,journal
Cell Metabolism,journal
Journal of the American College of Cardiology,journal
Annual Review of Neuroscience,journal
Nature Reviews Physics,journal
Advanced Energy Materials,journal
Nature Chemistry,journal
Nature Reviews Drug Discovery,journal
