Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Cohen, J.","",[No title available],1988,"Statistical Power Analysis for the Behavioral Sciences",,"",,,,,113917,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003577917&partnerID=40&md5=397686dec91a2e02603447dcf382b7dd",Article,Final,"",Scopus,2-s2.0-0003577917
"Yin, R.K.","",[No title available],1994,"Case Study Research: Design and Methods",,"",,,,,72721,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003673547&partnerID=40&md5=375e114a871bfbf0304a36ec0fde97d7",Article,Final,"",Scopus,2-s2.0-0003673547
"Hair, J.F., Anderson, R.E., Tatham, R.L., Black, W.C.","   ",[No title available],1995,"Multivariate Data Analysis",,"",,,,,67314,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003506109&partnerID=40&md5=b9acbcafbe6852a52f04fcbe09d5de6f",Article,Final,"",Scopus,2-s2.0-0003506109
"Nunnally, J.C.","",[No title available],1978,"Psychometric Theory",,"",,,,,63740,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003528130&partnerID=40&md5=a4ea4c8d10e6c492cb97c817adacbf14",Article,Final,"",Scopus,2-s2.0-0003528130
"Braun, V., Clarke, V.","7201814466; 7005658182","Using thematic analysis in psychology",2006,"Qualitative Research in Psychology",3,"2",,77,101,,55515,10.1191/1478088706qp063oa,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750505977&partnerID=40&md5=949c9a8170016855a4e4f5179927fd43",Article,Final,"",Scopus,2-s2.0-33750505977
"Strauss, A., Corbin, J."," ",[No title available],1998,"Basics of Qualitative Research: Techniques and Procedures for Developing Grounded Theory",,"",,,,,54294,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0037941821&partnerID=40&md5=8015a6414d5bff97027b25fb0b516b8c",Article,Final,"",Scopus,2-s2.0-0037941821
"Glaser, B.G., Strauss, A.L."," ",[No title available],1967,"The Discovery of Grounded Theory: Strategies for Qualitative Research",,"",,,,,50810,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003424343&partnerID=40&md5=31ff5466ed9d4116a19aa5794cdc732b",Article,Final,"",Scopus,2-s2.0-0003424343
"Baron, R.M., Kenny, D.A.","57203176904; 7102279530","The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations",1986,"Journal of Personality and Social Psychology",51,"6",,1173,1182,,50100,10.1037/0022-3514.51.6.1173,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023020183&partnerID=40&md5=76a528cc93ff74d505465ebf7095ece3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0023020183
"Miles, M.B., Huberman, A.M."," ",[No title available],1994,"Qualitative Data Analysis",,"",,,,,46143,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003784156&partnerID=40&md5=80ed28a0f440f923e404613d49dfe425",Article,Final,"",Scopus,2-s2.0-0003784156
"Landis, J.R., Koch, G.G.","7005010819; 7401744122","The measurement of observer agreement for categorical data",1977,"Biometrics",33,"1",,159,174,,45955,10.2307/2529310,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0017360990&partnerID=40&md5=69af451a23d810ce6ac71606ad0cbfc9",Article,Final,"",Scopus,2-s2.0-0017360990
"Fornell, C., Larcker, D.F."," ","Evaluating structural equation models with unobservable variables and measurement error",1981,"Journal of Marketing Research",18,"FEBRUARY",,39,50,,45579,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000009769&partnerID=40&md5=43d4931ec6e334a94e3020afcf9d076d",Article,Final,"",Scopus,2-s2.0-0000009769
"Rogers, E.M.","",[No title available],1995,"Diffusion of Innovations",,"",,,,,44515,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003584083&partnerID=40&md5=62a63f362b31b49c9cb2cfedd5c16409",Article,Final,"",Scopus,2-s2.0-0003584083
"Radloff, L.S.","6506080406","The CES-D Scale: A Self-Report Depression Scale for Research in the General Population",1977,"Applied Psychological Measurement",1,"3",,385,401,,37966,10.1177/014662167700100306,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965520932&partnerID=40&md5=270c8aea5fbe50ceb27ecb8f7e4ba6ed",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84965520932
