Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Koster F., Lambooij M.",Managing Innovations: A Study of the Implementation of Electronic Medical Records in Dutch Hospitals,2018,International Journal of Innovation and Technology Management,Article,PARENT
"Abraham, M., Crawford, J., Fisher, T.",Key factors predicting effectiveness of cultural change and improved productivity in implementing total quality management,1999,International Journal of Quality &amp; Reliability Management,Article,CHILD
"Ahire, S.L.",Management science-total quality management interfaces: An integrative framework,1997,Interfaces,Article,CHILD
"Avolio, B.J., Gardner, W.L.",Authentic leadership development: Getting to the root of positive forms of leadership,2005,Leadership Quarterly,Article,CHILD
"Becker, M.C.",Organizational routines: A review of the literature,2004,Industrial and Corporate Change,Article,CHILD
"Blank, J.L.T., Valdmanis, V.G.",Technology diffusion in hospitals: A log odds random effects regression model,2015,International Journal of Health Planning and Management,Article,CHILD
"Boonstra, A., Versluis, A., Vos, J.F.J.",Implementing electronic health records in hospitals: A systematic literature review,2014,BMC Health Services Research,Review,CHILD
"Brockner, J.",The escalation of commitment to a failing course of action: Toward theoretical progress,1992,Academy of Management Review,Article,CHILD
"Ceravolo, P., Corallo, A., Elia, G.",Semantic web-based profiled knowledge discovery in community of practice,2008,International Journal of Business Process Integration and Management,Article,CHILD
"Chaudoir, S.R., Dugan, A.G., Barr, C.H.I.","Measuring factors affecting implementation of health innovations: A systematic review of structural, organizational, provider, patient, and innovation level measures",2013,Implementation Science,Article,CHILD
"Cisternino, V., Corallo, A., Elia, G., Fugazza, C.",Business rules for semantics-aware business modelling: Overview and open issues,2009,International Journal of Web Engineering and Technology,Article,CHILD
"Cooper, R.B., Zmud, R.W.",Information technology implementation research: A technological diffusion approach,1990,Management Science,Article,CHILD
"Cremonini, M., Damiani, E., di Vimercati, S.C., Samarati, P., Corallo, A., Elia, G.","Security, privacy, and trust in mobile systems and applications",2005,Mobile and Wireless Systems Beyond 3G: Managing New Business Opportunities,Book Chapter,CHILD
"Cummings, G.G., MacGregor, T., Davey, M., Lee, H., Wong, C.A., Lo, E., Muise, M., Stafford, E.",Leadership styles and outcome patterns for the nursing workforce and work environment: A systematic review,2010,International Journal of Nursing Studies,Review,CHILD
"Cyert, R.M., March, J.G.",A behavioral theory of the firm,1963,A Behavioral Theory of the Firm,Article,CHILD
"Dirks, K.T., Ferrin, D.L.",Trust in leadership: Meta-analytic findings and implications for research and practice,2002,Journal of Applied Psychology,Article,CHILD
"Eisenhardt, K.M.",Agency theory: An assessment and review,1989,Academy of Management Review,Article,CHILD
"Farrell, D.","Exit, voice, loyalty, and neglect as responses to job dissatisfaction: A multidimensional scaling study",1983,Academy of Management Journal,Article,CHILD
"Feldman, M.S.",Organizational Routines as a Source of Continuous Change,2000,Organization Science,Article,CHILD
"Fleuren, M., Wiefferink, K., Paulussen, T.",Determinants of innovation within health care organizations. Literature review and Delphi study,2004,International Journal for Quality in Health Care,Review,CHILD
