Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Baby V.K., Reddy V.R.",How effective are the new wash security guidelines for india? an empirical case study of andhra pradesh,2013,Water Policy,Article,PARENT
"Deshpande R.S., Reddy V.R.",Social dynamics and farmers' society: A case study of Pani Panchayat,1990,Indian Journal of Agricultural Economics,,CHILD
Dharmadhikary S.,A Flawed Model for Water Regulation,2007,India Together,,CHILD
Kumar D.,"Managing Water in River Basins: Hydrology, Economics, and Institutions",2012,"Managing Water in River Basins: Hydrology, Economics, and Institutions",Book,CHILD
Reddy V.R.,Hydrological externalities and livelihoods impacts: Informed communities for better resource management,2012,Journal of Hydrology,Article,CHILD
"Saleth R.M., Dinar A.",The institutional economics of water: A cross-country analysis of institutions and performance,2004,The Institutional Economics of Water: A Cross-Country Analysis of Institutions and Performance,Book,CHILD
"Van Koppen B., Moriarty P., Boelee E.",Multiple-use water services to advance the millennium development goals,2006,Multiple-use Water Services to Advance the Millennium Development Goals,,CHILD
Reference Count: 6,,,,,
,,,,,
"Li H., Zhang J., Sarathy R.",Understanding compliance with internet use policy from the perspective of rational choice theory,2010,Decision Support Systems,Article,PARENT
Abdur-Razzaq B.M.,Boom times,2002,PC Magazine,,CHILD
Amabile T.M.,How to kill creativity.,1998,Harvard business review,Article,CHILD
"Bachman R., Paternoster R., Ward S.",The rationality of sexual offending: Testing a deterrence/rational choice conception of sexual assault,1992,Law and Society Review,,CHILD
"Bagozzi R.P., Yi Y.",On the evaluation of structural equation models,1988,Journal of the Academy of Marketing Science,Article,CHILD
Becker G.S.,Crime and punishment: An economic approach,1968,Journal of Political Economy,,CHILD
"Bollen K., Lennox R.",Conventional Wisdom on Measurement: A Structural Equation Perspective,1991,Psychological Bulletin,Article,CHILD
"Chan M., Woon I., Kankanhalli A.",Perceptions of information security in the workplace: Linking information security climate to compliant behavior,2005,Journal of Information Privacy and Security,,CHILD
"Chiricos T.G., Waldo G.P.",Punishment and crime: An examination of some empirical evidence,1970,Social Problems,,CHILD
"Dhillon G., Backhouse J.",Current directions in IS security research: Towards socio-organizational perspectives,2001,Information Systems Journal,,CHILD
"Diamantopoulos A., Winklhofer H.M.",Index construction with formative indicators: An alternative to scale development,2001,Journal of Marketing Research,Article,CHILD
"Dubin J.A., Wilde L.L.",An empirical analysis of federal income tax auditing and compliance,1988,National Tax Journal,,CHILD
"Dutton J.E., Dukerich J.M., Harquail C.V.",Organizational images and member identification,1994,Administrative Science Quarterly,,CHILD
"Fornell C., Larcker D.F.",Evaluating structural equation models with unobservable variables and measurement error,1981,Journal of Marketing Research,,CHILD
"Gautam T., Van Dick R., Wagner U.",Organizational identification and organizational commitment: Distinct aspects of two related concepts,2004,Asian Journal of Social Psychology,Review,CHILD
"Gefen D., Straub D.",A practical guide to factorial validity using PLS-graph: Tutorial and annotated example,2005,Communications of the Association for Information Systems,,CHILD
"Herath T., Rao H.R.","Encouraging information security behaviors in organizations: Role of penalties, pressures and perceived effectiveness",2009,Decision Support Systems,Article,CHILD
Kelman H.C.,"Compliance, identification, and internalization three processes of attitude change",1958,Journal of Conflict Resolution,Article,CHILD
"Lau V.C.S., Au W.T., Ho J.M.C.",A qualitative and quantitative review of antecedents of counterproductive behavior in organizations,2003,Journal of Business and Psychology,Review,CHILD
Lim V.K.G.,"The IT way of loafing on the job: Cyberloafing, neutralizing and organizational justice",2002,Journal of Organizational Behavior,Article,CHILD
"Limayem M., Khalifa M., Chin W.W.",Factors motivating software piracy: A longitudinal study,2004,IEEE Transactions on Engineering Management,Article,CHILD
"Mathieson K., Peacock E., Chin W.W.",Extending the Technology Acceptance Model: The Influence of Perceived User Resources,2001,Data Base for Advances in Information Systems,Article,CHILD
May P.J.,Regulation and Compliance Motivations: Examining Different Approaches,2005,Public Administration Review,Review,CHILD
Murphy K.,Enforcing Tax Compliance: To Punish or Persuade?,2008,Economic Analysis and Policy,Article,CHILD
"Paternoster R., Simpson S.",Sanction threats and appeals to morality: Testing a rational choice model of corporate crime,1996,Law and Society Review,Article,CHILD
"Pavlou P.A., El Sawy O.A.",From IT leveraging competence to competitive advantage in turbulent environments: The case of new product development,2006,Information Systems Research,Article,CHILD
"Peace A.G., Galletta D.F., Thong J.Y.L.",Software piracy in the workplace: A model and empirical test,2003,Journal of Management Information Systems,Article,CHILD
"Pee L.G., Woon I.M.Y., Kankanhalli A.",Explaining non-work-related computing in the workplace: A comparison of alternative models,2008,Information and Management,Article,CHILD
"Piquero N.L., Exum M.L., Simpson S.S.",Integrating the desire-for-control and rational choice in a corporate crime context,2005,Justice Quarterly,Article,CHILD
"Rhee H.-S., Ryu Y.U., Kim C.-T.","Twenty-Sixth International Conference on Information Systems, I am fine but you are not: optimistic bias and illusion of control on information security",2005,"Twenty-Sixth International Conference on Information Systems, (Las Vegas (Nevada), United States, 2005)",,CHILD
Smith K.W.,Integrating three perspectives on noncompliance: A Sequential Decision Model,1990,Criminal Justice and Behavior,Article,CHILD
"Tyler T.R., Callahan P.E., Frost J.","Armed, and dangerous (?): Motivating rule adherence among agents of social control",2007,Law and Society Review,Article,CHILD
"Venkatesh V., Davis F.D.",Theoretical extension of the Technology Acceptance Model: Four longitudinal field studies,2000,Management Science,Article,CHILD
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.",User acceptance of information technology: Toward a unified view,2003,MIS Quarterly: Management Information Systems,Article,CHILD
Wenzel M.,An analysis of norm processes in tax compliance,2004,Journal of Economic Psychology,Article,CHILD
Wenzel M.,The social side of sanctions: Personal and social norms as moderators of deterrence,2004,Law and Human Behavior,Article,CHILD
"Young K.S., Case C.J.",Internet Abuse in the Workplace: New Trends in Risk Management,2004,Cyberpsychology and Behavior,Article,CHILD
Reference Count: 36,,,,,
,,,,,
"Siponen M., Vance A.",Neutralization: New insights into the problem of employee information systems security policy violations,2010,MIS Quarterly: Management Information Systems,Article,PARENT
"Alexander C.S., Becker H.J.",The use of vignettes in survey research,1978,Public Opinion Quarterly,Article,CHILD
"Bachman R., Paternoster R., Ward S.",The rationality of sexual offending: Testing a deterrence/rational choice conception of sexual assault,1992,Law and Society Review,,CHILD
"Banerjee D., Cronan T.P., Jones T.W.",Modeling IT ethics: A study in situational ethics,1998,MIS Quarterly: Management Information Systems,Article,CHILD
Bequai August,Employee abuses in cyberspace: Management's legal quagmire,1998,Computers and Security,Editorial,CHILD
"Boudreau M.-C., Gefen D., Straub D.W.",Validation in information systems research: A state-of-the-art assessment,2001,MIS Quarterly: Management Information Systems,Article,CHILD
Braithwaite J.,Restorative justice: Assessing optimistic and pessimistic accounts,1999,Crime and Justice: A Review of Research,,CHILD
"Byers B., Crider B.W., Biggers G.K.",Bias Crime Motivation: A study of hate crime and offender neutralization techniques used against the Amish,1999,Journal of Contemporary Criminal Justice,Article,CHILD
Cao L.,Major Criminological Theories: Concepts and Measurement,2004,Major Criminological Theories: Concepts and Measurement,,CHILD
"Chin W.W., Marcelin B.L., Newsted P.R.",A partial least squares latent variable modeling approach for measuring interaction effects: Results from a Monte Carlo simulation study and an electronic-mail emotion/adoption study,2003,Information Systems Research,Article,CHILD
"Choudhury V., Karahanna E.",The relative advantage of electronic channels: A multidimensional view,2008,MIS Quarterly: Management Information Systems,Article,CHILD
Cook P.J.,Research in criminal deterrence: Laying the groundwork for the second decade,1980,Crime and Justice: An Annual Review of Research,,CHILD
"Cromwell P., Thurman Q.",The devil made me do it: Use of neutralizations by shoplifters,2003,Deviant Behavior,Article,CHILD
"D'Arcy J., Hovav A., Galletta D.",User awareness of security countermeasures and its impact on information systems misuse: A deterrence approach,2009,Information Systems Research,Article,CHILD
"Dhillon G., Moores S.",Computer crimes: Theorizing about the enemy within,2001,Computers and Security,Note,CHILD
"Eliason S.L., Dodder R.A.",Techniques of neutralization used by deer poachers in the western united states: A research note,1999,Deviant Behavior,Article,CHILD
"Elis L.A., Simpson S.S.",Informal sanction threats and corporate crime: Additive versus multiplicative models,1995,Journal of Research in Crime and Delinquency,Article,CHILD
"Ernst, Young",Ernst & Young 2008 Global Information Security Survey,2008,Ernst & Young 2008 Global Information Security Survey,,CHILD
Fox K.J.,Reproducing criminal types: Cognitive treatment for violent offenders in prison,1999,Sociological Quarterly,Article,CHILD
"Gefen D., Rose G.M., Warkentin M., Pavlou P.A.",Cultural diversity and trust in IT adoption: A comparison of potential e-voters in the USA and South Africa,2005,Journal of Global Information Management,Review,CHILD
