Authors,Title,Year,Source title,Link,Document Type,Source
"Cohen J.",[No title available],1988,"Statistical Power Analysis for the Behavioral Sciences",,,Scopus
"Hair J.F., Anderson R.E., Tatham R.L., Black W.C.",[No title available],1995,"Multivariate Data Analysis",,,Scopus
"Nunnally J.C.",[No title available],1978,"Psychometric Theory",,,Scopus
"Baron R.M., Kenny D.A.","The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations",1986,"Journal of Personality and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023020183&doi=10.1037%2f0022-3514.51.6.1173&partnerID=40&md5=f7a213e1cb3840999e3c803ebed94263",Article,Scopus
"Fornell C., Larcker D.F.","Evaluating structural equation models with unobservable variables and measurement error",1981,"Journal of Marketing Research",,,Scopus
"Ajzen I.","The theory of planned behavior",1991,"Organizational Behavior and Human Decision Processes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949274046&doi=10.1016%2f0749-5978%2891%2990020-T&partnerID=40&md5=e27ee5041e0c00279f7c9c3291a3eb1d",Article,Scopus
"Podsakoff P.M., MacKenzie S.B., Lee J.-Y., Podsakoff N.P.","Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies",2003,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141907688&doi=10.1037%2f0021-9010.88.5.879&partnerID=40&md5=b94b2abc9bf1d6dbdafe9184dcf66441",Review,Scopus
"Bandura A.",[No title available],1986,"Social Foundations of Thought and Action: A Social Cognitive Theory",,,Scopus
"Davis F.D.","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249087535&doi=10.2307%2f249008&partnerID=40&md5=077d6bd1380e7553fd4c6d49f4f5bcf7",Article,Scopus
"Fishbein M., Ajzen I.",[No title available],1975,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research",,,Scopus
"Anderson J.C., Gerbing D.W.","Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach",1988,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41649112685&doi=10.1037%2f0033-2909.103.3.411&partnerID=40&md5=ee8fb21e8f8dca22dffc04b084384082",Article,Scopus
"Cronbach L.J.","Coefficient alpha and the internal structure of tests",1951,"Psychometrika","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845945922&doi=10.1007%2fBF02310555&partnerID=40&md5=70c1840d9ab24b100e6d92a537ad117c",Article,Scopus
"Ajzen I., Fishbein M.",[No title available],1980,"Understanding Attitudes and Predicting Social Behavior",,,Scopus
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542382496&doi=10.2307%2f30036540&partnerID=40&md5=0145eeee9ddb1678e81b29817475e16c",Article,Scopus
"Olson M.",[No title available],1965,"The Logic of Collective Action",,,Scopus
"Bagozzi R.P., Yi Y.","On the evaluation of structural equation models",1988,"Journal of the Academy of Marketing Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51249177591&doi=10.1007%2fBF02723327&partnerID=40&md5=7fbac366ca7108117d54896d2ff2bea8",Article,Scopus
"Davis F.D., Bagozzi R.P., Warshaw P.R.","User acceptance of computer technology: A comparison of two theoretical models",1989,"Management Science",,,Scopus
"Armstrong J.S., Overton T.S.","Estimating nonresponse bias in mail surveys",1977,"Journal of Marketing Research",,,Scopus
"Chin W.W.","The partial least squares approach to structural equation modeling",1998,"Modern Methods for Business Research",,,Scopus
"Venkatesh V., Davis F.D.","Theoretical extension of the Technology Acceptance Model: Four longitudinal field studies",2000,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033872521&doi=10.1287%2fmnsc.46.2.186.11926&partnerID=40&md5=44e332bd026536b8636e9b0ae8841e7b",Article,Scopus
"Cook T.D., Campbell D.T.",[No title available],1979,"Quasi-experimentation: Design and Analysis Issues for Field Settings",,,Scopus
