Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Seddon P.B., Constantinidis D., Tamm T., Dod H.",How does business analytics contribute to business value?,2017,Information Systems Journal,Article,PARENT
"Akinci, C., Sadler-Smith, E.",Intuition in Management Research: A Historical Review,2012,International Journal of Management Reviews,Review,CHILD
"Amabile, T.M.",The social psychology of creativity: A componential conceptualization,1983,Journal of Personality and Social Psychology,Article,CHILD
"Barney, J.",Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
"Barney, J.B., Ketchen, D.J., Wright, M.",The future of resource-based theory: Revitalization or decline?,2011,Journal of Management,Article,CHILD
"Cammaert, A.B.","The viable system model: Its provenance, development, methodology and pathology",1984,Journal of the Operational Research Society,Article,CHILD
"Bowden, E.M., Jung-Beeman, M., Fleck, J., Kounios, J.",New approaches to demystifying insight,2005,Trends in Cognitive Sciences,Article,CHILD
"Clark Jr., T.D., Jones, M.C., Armstrong, C.P.","The dynamic structure of management support systems: Theory development, research focus, and direction",2007,MIS Quarterly: Management Information Systems,Conference Paper,CHILD
"Daft, R.L., Weick, K.E.",Toward a model of organizations as interpretation systems,1984,Academy of Management Review,Article,CHILD
"Davenport, T.H., Dyché, J.",Big data in big companies. International Institute for Analytics,2013,Big Data in Big Companies,Article,CHILD
"Davenport, T.H., Harris, J.G., Cantrell, S.",Enterprise systems and ongoing process change,2004,Business Process Management Journal,Article,CHILD
"Davenport, T.H.",Competing on analytics,2006,Harvard Business Review,Review,CHILD
"Davenport, T.H., Kim, J.",Keeping up with the quants,2013,Harvard Business Review Press,Article,CHILD
"Davenport, T.H., Patil, D.J.",Data scientist: The sexiest job of the 21st century,2012,Harvard Business Review,Article,CHILD
"Davidson, J.E.",The psychology of problem solving,2003,The Psychology of Problem Solving,Book,CHILD
"DeLone, W.H., McLean, E.R.",Information systems success: The quest for the dependent variable,1992,Information Systems Research,Article,CHILD
"Dominowski, R.L., Dallob, P.",Insight and problem solving,1995,The Nature of Insight,Article,CHILD
"Eisenhardt, K.M., Zbaracki, M.J.",Strategic decision making,1992,Strategic Management Journal,Article,CHILD
"Elbashir, M.Z., Collier, P.A., Sutton, S.G.",The role of organizational absorptive capacity in strategic use of business intelligence to support integrated management control systems,2011,Accounting Review,Article,CHILD
"Gregor, S.",The nature of theory in Information Systems,2006,MIS Quarterly: Management Information Systems,Article,CHILD
"Gruber, H.E.",Insight and affect in the history of science,1995,The Nature of Insight,Article,CHILD
"Hartono, E., Santhanam, R., Holsapple, C.W.",Factors that contribute to management support system success: An analysis of field studies,2007,Decision Support Systems,Article,CHILD
"Holsapple, C., Lee-Post, A., Pakath, R.",A unified foundation for business analytics,2014,Decision Support Systems,Article,CHILD
"Isik, O., Jones, M., Sidorova, A.",Business intelligence success: An empirical evaluation of the role of BI capabilities and the decision environment,2010,Proceedings of the BI Congress II: Pre-ICIS Conference,Article,CHILD
"Kettinger, W.J., Zhang, C., Marchand, D.A.",CIO and business executive leadership approaches to establishing company-wide information orientation,2011,MIS Quarterly Executive,Article,CHILD
"Lavalle, S., Lesser, E., Shockley, R., Hopkins, M.S., Kruschwitz, N.","Big data, analytics and the path from insights to value",2011,MIT Sloan Management Review,Article,CHILD
"Langley, A.",Strategies for theorizing from process data,1999,Academy of Management Review,Article,CHILD
"Langley, A., Smallman, C., Tsoukas, H., Van De Ven, A.H.","Process studies of change in organization and management: Unveiling temporality, activity, and flow",2013,Academy of Management Journal,Article,CHILD
