Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Kutsch E., Browning T.R., Hall M.",Bridging the risk gap: The failure of risk management in information systems projects,2014,Research Technology Management,Article,PARENT
"Cerpa N., Verner J.M.",Why did your project fail?,2009,Communications of the ACM,Article,CHILD
"Miller K.D., Waller H.G.","Scenarios, real options and integrated risk management",2003,Long Range Planning,Article,CHILD
"Mulvey J.M., Rosenbaum D.P., Shetty B.",Strategic financial risk management and operations research,1997,European Journal of Operational Research,Review,CHILD
Nelson R.R.,"IT project management: Infamous failures, classic mistakes, and best practices",2007,MIS Quarterly Executive,,CHILD
"Patanakul P., Iewwongcharoen B., Milosevic D.",An empirical study on the use of project management tools and techniques across project life-cycle and their impact on project success,2010,Journal of General Management,Article,CHILD
Smith P.G.,Managing risk as product development schedules shrink,1999,Research Technology Management,Article,CHILD
"Smith P.G., Merritt G.M.",Proactive Risk Management,2002,Proactive Risk Management: Controlling Uncertainty in Product Development,,CHILD
Williams T.,Assessing and moving on from the dominant project management discourse in the light of project overruns,2005,IEEE Transactions on Engineering Management,Review,CHILD
Reference Count: 8,,,,,
,,,,,
"Kutsch E., Denyer D., Hall M., Lee-Kelley E.",Does risk matter? Disengagement from risk management practices in information systems projects,2013,European Journal of Information Systems,Article,PARENT
"Akintoye A.S., MacLeod M.J.",Risk analysis and management in construction,1997,International Journal of Project Management,Article,CHILD
Bannerman P.L.,Risk and risk management in software projects: A reassessment,2008,Journal of Systems and Software,Article,CHILD
"Barki H., Rivard S., Talbot J.",Toward an assessment of software development risk,1993,Journal of Management Information Systems,Article,CHILD
Beierle T.C.,The Benefits and Costs of Disclosing Information about Risks: What Do We Know about Right-to-Know?,2004,Risk Analysis,Review,CHILD
"Bobbitt Jr. H.R., Ford J.D.",Decision-maker choice as a determinant of organizational structure,1980,Academy of Management Review,,CHILD
"Boehm B.W., Ross R.",Theory-W Software Project Management: Principles and Examples,1989,IEEE Transactions on Software Engineering,Article,CHILD
Boehm B.W.,Software Risk Management: Principles and Practices,1991,IEEE Software,Article,CHILD
"Bown N.J., Read D., Summers B.",The Lure of Choice,2003,Journal of Behavioral Decision Making,Article,CHILD
"Butler B.S., Gray P.H.","Reliability, mindfulness, and information systems",2006,MIS Quarterly: Management Information Systems,Article,CHILD
"Cerpa N., Verner J.M.",Why did your project fail?,2009,Communications of the ACM,Article,CHILD
Chapman C.,Project risk analysis and management - PRAM the generic process,1997,International Journal of Project Management,Article,CHILD
"Chapman C., Ward S.",Why risk efficiency is a key aspect of best practice projects,2004,International Journal of Project Management,Article,CHILD
"Chapman C., Ward S.",Managing risk,2000,Gower Handbook of Project Management,,CHILD
Charette Robert N.,Large-scale project management is risk management,1996,IEEE Software,Article,CHILD
Clarke L.,The disqualification heuristic: When do organizations misperceive risk?,1993,Research in Social Problems and Public Policy,,CHILD
Cleden D.,Managing Project Uncertainty,2009,Managing Project Uncertainty,,CHILD
"Cule P., Schmidt R., Lyytinen K., Keil M.",Strategies for heading off is project failure,2000,Information Systems Management,Article,CHILD
"de Camprieu R., Desbiens J., Feixue Y.",'Cultural' differences in project risk perception: An empirical comparison of China and Canada,2007,International Journal of Project Management,Article,CHILD
"DiMaggio P.J., Powell W.W.",Introduction,1991,The New Institutionalism in Organizational Analysis,,CHILD
"Feldman M.S., Pentland B.T.",Reconceptualizing organizational routines as a source of flexibility and change,2003,Administrative Science Quarterly,Review,CHILD
Flanagan J.C.,The critical incident technique,1954,Psychological Bulletin,Article,CHILD
Gabriel Eric,Lean approach to project management,1997,International Journal of Project Management,Article,CHILD
Gibson C.F.,IT-enabled business change: An approach to understanding and managing risk,2003,MIS Quarterly Executive,,CHILD
Glover S.,Separate visual representations in the planning and control of action,2004,Behavioral and Brain Sciences,Review,CHILD
Hale A.R.,Subjective risk,1987,Risk and Decisions,,CHILD
"Hofmann H.F., Lehner F.",Requirements engineering as a success factor in software projects,2001,IEEE Software,Article,CHILD
Hollnagel E.,Resilience: The challenge of the unstable,2006,Resilience Engineering: Concepts and Precepts,,CHILD
Jaafari A.,"Management of risks, uncertainties and opportunities on projects: Time for a fundamental shift",2001,International Journal of Project Management,Article,CHILD
"Johnson J., Boucher K.D., Connors K., Robinson J.",The criteria for success,2001,Software Magazine,,CHILD
"Keil M., Wallace L., Turk D., Dixon-Randall G., Nulden U.",Investigation of risk perception and risk propensity on the decision to continue a software development project,2000,Journal of Systems and Software,Article,CHILD
Lam W.,Technical risk management on enterprise integration projects,2004,Communications of the AIS,,CHILD
"Lamb R., Kling R.",Reconceptualizing users as social actors in information systems research,2003,MIS Quarterly: Management Information Systems,Article,CHILD
"Lammers J., Galinsky A.D., Gordijn E.H., Otten S.",Illegitimacy moderates the effects of power on approach,2008,Psychological Science,Article,CHILD
