Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Tai J.C.F., Wang E.T.G., Yeh H.-Y.","A study of IS assets, IS ambidexterity, and IS alignment: the dynamic managerial capability perspective",2019,Information and Management,Article,PARENT
"Chan, Y.E., Reich, B.H.",IT alignment: What have we learned?,2007,Journal of Information Technology,Article,CHILD
"Gerow, J.E., Grover, V., Thatcher, J., Roth, P.L.",Looking toward the future of IT-business strategic alignment through the past: A meta-analysis,2014,MIS Quarterly: Management Information Systems,Article,CHILD
"Coltman, T., Tallon, P., Sharma, R., Queiroz, M.",Strategic IT alignment: Twenty-five years on,2015,Journal of Information Technology,Review,CHILD
"Renaud, A., Walsh, I., Kalika, M.",Is SAM still alive? A bibliometric and interpretive mapping of the strategic alignment research field,2016,Journal of Strategic Information Systems,Article,CHILD
"Gerow, J.E., Thatcher, J.B., Grover, V.",Six types of IT-business strategic alignment: An investigation of the constructs and their measurement,2015,European Journal of Information Systems,Article,CHILD
"Henderson, J.C., Venkatraman, N.",Strategic alignment: leveraging information technology for transforming organizations,1993,IBM Systems Journal,Article,CHILD
"Reich, B.H., Benbasat, I.",Measuring the linkage between business and information technology objectives,1996,MIS Quarterly: Management Information Systems,Article,CHILD
"Luftman, J.",Assessing business-IT alignment maturity,2000,Communications of the Association for Information Systems,Article,CHILD
"Chan, Y.E., Sabherwal, R., Thatcher, J.B.",Antecedents and outcomes of strategic IS alignment: An empirical investigation,2006,IEEE Transactions on Engineering Management,Article,CHILD
"Sabherwal, R., Chan, Y.E.","Alignment between Business and IS Strategies: A Study of Prospectors, Analyzers, and Defenders",2001,Information Systems Research,Article,CHILD
"Reich, B.H., Benbasat, I.",Factors that influence the social dimension of alignment between business and information technology objectives,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Tallon, P.P.",A process-oriented perspective on the alignment of information technology and business strategy,2007,Journal of Management Information Systems,Article,CHILD
"Tallon, P.P., Pinsonneault, A.",Competing perspectives on the link between strategic information technology alignment and organizational agility: Insights from a mediation model,2011,MIS Quarterly: Management Information Systems,Article,CHILD
"Kearns, G.S., Lederer, A.L.",A resource-based view of strategic IT alignment: How knowledge sharing creates competitive advantage,2003,Decision Sciences,Article,CHILD
"Kearns, G.S., Sabherwal, R.","Strategic alignment between business and information technology: A knowledge-based view of behaviors, outcome, and consequences",2006,Journal of Management Information Systems,Article,CHILD
"Preston, D.S., Karahanna, E.",Antecedents of IS strategic alignment: A nomological network,2009,Information Systems Research,Article,CHILD
"Sabherwal, R., Hirschheim, R., Goles, T.",The Dynamics of Alignment: Insights from a Punctuated Equilibrium Model,2001,Organization Science,Article,CHILD
"Peppard, J., Breu, K.",Beyond alignment: A coevolutionary view of the information systems strategy process,2003,Twenty-fourth International Conference on Information Systems,Article,CHILD
"Benbya, H., McKelvey, B.",Using coevolutionary and complexity theories to improve IS alignment: A multi-level approach,2006,Journal of Information Technology,Article,CHILD
"Lee, O.-K., Sambamurthy, V., Lim, K.H., Wei, K.K.",How does IT ambidexterity impact organizational agility?,2015,Information Systems Research,Article,CHILD
"Luftman, J., Lyytinen, K., Zvi, T.B.",Enhancing the measurement of information technology (IT) business alignment and its influence on company performance,2017,Journal of Information Technology,Article,CHILD
"O'Reilly III, C.A., Tushman, M.L.",Ambidexterity as a dynamic capability: Resolving the innovator's dilemma,2008,Research in Organizational Behavior,Review,CHILD
"Teece, D.J.",Explicating dynamic capabilities: The nature and microfoundations of (sustainable) enterprise performance,2007,Strategic Management Journal,Article,CHILD
"Pavlou, P.A., El Sawy, O.A.",From IT leveraging competence to competitive advantage in turbulent environments: The case of new product development,2006,Information Systems Research,Article,CHILD
"Barreto, I.",Dynamic Capabilities: A review of past research and an agenda for the future,2010,Journal of Management,Review,CHILD
"Teece, D.J., Pisano, G., Shuen, A.",Dynamic capabilities and strategic management,1997,Strategic Management Journal,Article,CHILD
"Barney, J.",Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
"Eisenhardt, K.M., Martin, J.A.",Dynamic capabilities: What are they?,2000,Strategic Management Journal,Article,CHILD
"Zollo, M., Winter, S.G.",Deliberate learning and the evolution of dynamic capabilities,2002,Organization Science,Article,CHILD
"Winter, S.G.",Understanding dynamic capabilities,2003,Strategic Management Journal,Article,CHILD
"Zahra, S.A., Sapienza, H.J., Davidsson, P.","Entrepreneurship and dynamic capabilities: A review, model and research agenda",2006,Journal of Management Studies,Article,CHILD
"Teece, D.J.",The foundations of enterprise performance: Dynamic and ordinary capabilities in an (economic) theory of firms,2014,Academy of Management Perspectives,Conference Paper,CHILD
"Di Stefano, G., Peteraf, M., Verona, G.",The organizational drivetrain: A road to integration of dynamic capabilities research,2014,Academy of Management Perspectives,Conference Paper,CHILD
"Helfat, C.E., Martin, J.A.",Dynamic Managerial Capabilities: Review and Assessment of Managerial Impact on Strategic Change,2015,Journal of Management,Review,CHILD
"Adner, R., Helfat, C.E.",Corporate effects and dynamic managerial capabilities,2003,Strategic Management Journal,Article,CHILD
"Helfat, C.E., Peteraf, M.A.",Managerial cognitive capabilities and the microfoundations of dynamic capabilities,2015,Strategic Management Journal,Article,CHILD
"Anand, J., Singh, H.","Asset redeployment, acquisitions and corporate strategy in declining industries",1997,Strategic Management Journal,Article,CHILD
"Sirmon, D.G., Gove, S., Hitt, M.A.",Resource management in dyadic competitive rivalry: The effects of resource bundling and deployment,2008,Academy of Management Journal,Article,CHILD
"Sirmon, D.G., Hitt, M.A., Ireland, R.D.",Managing firm resources in dynamic environments to create value: Looking inside the black box,2007,Academy of Management Review,Review,CHILD
"Porter, M.E.",What is strategy?,1996,Harvard Business Review,Article,CHILD
"Tallon, P.P., Kraemer, K.L., Gurbaxani, V.",Executives' perceptions of the business value of information technology: A process-oriented approach,2000,Journal of Management Information Systems,Article,CHILD
"Peppard, J., Ward, J.",Beyond strategic information systems: Towards an IS capability,2004,Journal of Strategic Information Systems,Article,CHILD
"Baker, J., Jones, D.R., Cao, Q., Song, J.",Conceptualizing the dynamic strategic alignment competency,2011,Journal of the Association for Information Systems,Article,CHILD
"Gupta, Y.P., Karimi, J., Somers, T.M.",Alignment of a firm's competitive strategy and information technology management sophistication: The missing link,1997,IEEE Transactions on Engineering Management,Article,CHILD
"March, J.G.",Exploration and exploitation in organizational learning,1991,Organization Science,Article,CHILD
"Lavie, D., Stettner, U., Tushman, M.L.",Exploration and exploitation within and across organizations,2010,Academy of Management Annals,Review,CHILD
"Tushman, M.L., O'Reilly III, C.A.",Ambidextrous organizations: Managing evolutionary and revolutionary change,1996,California Management Review,Article,CHILD
"Gibson, C.B., Birkinshaw, J.","The antecedents, consequences, and mediating role of organizational ambidexterity",2004,Academy of Management Journal,Article,CHILD
"Jansen, J.J.P., George, G., Van Den Bosch, F.A.J., Volberda, H.W.",Senior team attributes and organizational ambidexterity: The moderating role of transformational leadership,2008,Journal of Management Studies,Article,CHILD
"O'Reilly Iii, C.A., Tushman, M.L.","Organizational ambidexterity: Past, present, and future",2013,Academy of Management Perspectives,Article,CHILD
"Piccoli, G., Ives, B.",Review: IT-dependent strategic initiatives and sustained competitive advantage: A review and synthesis of the literature,2005,MIS Quarterly: Management Information Systems,Article,CHILD
"McGinnis, T.C., Huang, Z.",Rethinking ERP success: A new perspective from knowledge management and continuous improvement,2007,Information and Management,Article,CHILD
"Malhotra, A., Gosain, S., El Sawy, O.A.",Absorptive capacity configurations in supply chains: Gearing for partner-enabled market knowledge creation,2005,MIS Quarterly: Management Information Systems,Article,CHILD
"Chaudhuri, S., Dayal, U., Narasayya, V.",An overview of business intelligence technology,2011,Communications of the ACM,Review,CHILD
"Chen, H., Chiang, R.H.L., Storey, V.C.",Business intelligence and analytics: From big data to big impact,2012,MIS Quarterly: Management Information Systems,Article,CHILD
"Shmueli, G., Koppius, O.R.",Predictive analytics in information systems research,2011,MIS Quarterly: Management Information Systems,Review,CHILD
"Bharadwaj, A.S.",A resource-based perspective on information technology capability and firm performance: An empirical investigation,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Feeny, D.F., Willcocks, L.P.",Core IS capabilities for exploiting information technology,1998,Sloan Management Review,Article,CHILD
"Irani, Z., Themistocleous, M., Love, P.E.D.",The impact of enterprise application integration on information system lifecycles,2003,Information and Management,Article,CHILD
"Yoo, Y., Boland, R.J., Lyytinen, K., Majchrzak, A.",Organizing for innovation in the digitized world,2012,Organization Science,Article,CHILD
"Fichman, R.G., Dos Santos, B.L., Zheng, Z.",Digital innovation as a fundamental and powerful concept in the information systems curriculum,2014,MIS Quarterly: Management Information Systems,Review,CHILD
"Broadbent, M., Weill, P.",Management by maxim: How business and IT managers can create IT infrastructures,1997,Sloan Management Review,Article,CHILD
"Karahanna, E., Preston, D.",The effect of social capital of the relationship between the cio and top management team on firm performance,2013,Journal of Management Information Systems,Article,CHILD
"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,2015,Journal of Information Technology,Article,CHILD
"Tsai, W., Ghoshal, S.",Social capital and value creation: The role of intrafirm networks,1998,Academy of Management Journal,Article,CHILD
"Venkatraman, N.",IT-enabled business transformation: From automation to business scope redefinition,1994,Sloan Management Review,Article,CHILD
"Gerow, J.E., Grover, V., Thatcher, J.",Alignment's nomological network: Theory and evaluation,2016,Information and Management,Article,CHILD
"Sambamurthy, V., Bharadwaj, A., Grover, V.",Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,2003,MIS Quarterly: Management Information Systems,Article,CHILD
"Duncan, N.B.",Capturing flexibility of information technology infrastructure: A study of resource characteristics and their measure,1995,Journal of Management Information Systems,Article,CHILD
"Armstrong, J.S., Overton, T.S.",Estimating nonresponse bias in mail surveys,1977,Journal of Marketing Research,Article,CHILD
"Podsakoff, P.M., MacKenzie, S.B., Lee, J.-Y., Podsakoff, N.P.",Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies,2003,Journal of Applied Psychology,Review,CHILD
"Cao, Q., Gedajlovic, E., Zhang, H.","Unpacking organizational ambidexterity: Dimensions, contingencies, and synergistic effects",2009,Organization Science,Article,CHILD
"Tiwana, A.",Systems development ambidexterity: Explaining the complementary and substitutive roles of formal and informal controls,2010,Journal of Management Information Systems,Article,CHILD
"Im, G., Rai, A.",Knowledge sharing ambidexterity in long-term interorganizational relationships,2008,Management Science,Article,CHILD
"Ravichandran, T., Lertwongsatien, C.",Effect of information systems resources and capabilities on firm performance: A resource-based perspective,2005,Journal of Management Information Systems,Review,CHILD
"Chin, W.W., Newsted, P.R.",Structural equation modeling analysis with small samples using partial least squares,1999,Statistical Strategies for Small Sample Research,Article,CHILD
"Wold, H.",Partial least squares,1985,Encyclopedia of Statistical Sciences,Article,CHILD
"Cassel, C., Hackl, P., Westlund, A.H.",Robustness of partial least-squares method for estimating latent variable quality structures,1999,Journal of Applied Statistics,Article,CHILD
"Ringle, C.M., Wende, S., Becker, J.-M.",SmartPLS 3,2015,SmartPLS 3,Article,CHILD
"Hair, J.F., Ringle, C.M., Sarstedt, M.",PLS-SEM: Indeed a silver bullet,2011,Journal of Marketing Theory and Practice,Article,CHILD
"Henseler, J., Ringle, C.M., Sinkovics, R.R.",The use of partial least squares path modeling in international marketing,2009,Advances in International Marketing,Article,CHILD
"Henseler, J., Ringle, C.M., Sarstedt, M.",A new criterion for assessing discriminant validity in variance-based structural equation modeling,2015,Journal of the Academy of Marketing Science,Article,CHILD
"Voorhees, C.M., Brady, M.K., Calantone, R., Ramirez, E.","Discriminant validity testing in marketing: an analysis, causes for concern, and proposed remedies",2016,Journal of the Academy of Marketing Science,Article,CHILD
"Wang, N., Liang, H., Zhong, W., Xue, Y., Xiao, J.",Resource structuring or capability building? An empirical study of the business value of information technology,2012,Journal of Management Information Systems,Article,CHILD
"Wang, E.T.G., Chiu, C.-H., Chen, K.-X.",Effect of IT skills on it capabilities and IT-business alignment,2013,"Proceedings - Pacific Asia Conference on Information Systems, PACIS 2013",Conference Paper,CHILD
Reference Count: 85,,,,,
,,,,,
"Zhou J., Bi G., Liu H., Fang Y., Hua Z.","Understanding employee competence, operational IS alignment, and organizational agility – An ambidexterity perspective",2018,Information and Management,Article,PARENT
"Armstrong, J.S., Overton, T.S.",Estimating nonresponse bias in mail surveys,1977,Journal of Marketing Research,Article,CHILD
"Arvidsson, V., Holmström, J., Lyytinen, K.",Information systems use as strategy practice: A multi-dimensional view of strategic information system implementation and use,2014,Journal of Strategic Information Systems,Article,CHILD
"Bassellier, G., Benbasat, I.",Business competence of information technology professionals: Conceptual development and influence on IT-business partnerships,2004,MIS Quarterly: Management Information Systems,Article,CHILD
"Bassellier, G., Benbasat, I., Reich, B.H.",The Influence of Business Managers' IT Competence on Championing IT,2003,Information Systems Research,Article,CHILD
"Bassellier, G., Reich, B.H., Benbasat, I.",Information technology competence of business managers: A definition and research model,2001,Journal of Management Information Systems,Article,CHILD
