Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Carvalho J.V., Rocha Á., Vasconcelos J., Abreu A.",A health data analytics maturity model for hospitals information systems,2019,International Journal of Information Management,Article,PARENT
"Becker, J., Knackstedt, R., Pöppelbuß, J.",Developing maturity models for IT management - A procedure model and its application,2009,Business &amp; Information Systems Engineering,Article,CHILD
"Brooks, P., El-Gayar, O., Sarnikar, S.",Towards a business intelligence maturity model for healthcare,2013,Proceedings of the Annual Hawaii International Conference on System Sciences,Conference Paper,CHILD
"Vidal Carvalho, J., Rocha, Á., Abreu, A.",Maturity of hospital information systems: Most important influencing factors,2019,Health Informatics Journal,Article,CHILD
"Carvalho, J.V., Rocha, Á., van de Wetering, R., Abreu, A.",A Maturity model for hospital information systems,2019,Journal of Business Research,Article,CHILD
"Carvalho, J.V., Rocha, Á., Vasconcelos, J., Abreu, A.",Health data analytics: A proposal to measure hospitals information systems maturity,2018,Advances in Intelligent Systems and Computing,Conference Paper,CHILD
"Carvalho, J.V., Rocha, Á., Abreu, A.",HISMM - Hospital information system maturity model: A synthesis,2017,Advances in Intelligent Systems and Computing,Conference Paper,CHILD
"Carvalho, J.V., Rocha, Á., Abreu, A.",Maturity Models of Healthcare Information Systems and Technologies: a Literature Review,2016,Journal of Medical Systems,Article,CHILD
"Chuah, M.-H.",An Enterprise Business Intelligence Maturity Model (EBIMM): Conceptual framework,2010,"2010 5th International Conference on Digital Information Management, ICDIM 2010",Conference Paper,CHILD
"Clair, C.L.",Forrester research inc,2010,Electronic medical records need more to support “Meaningful use”,Article,CHILD
"de Bruin, T., Rosemann, M., Freeze, R., Kulkarni, U.",Understanding the main phases of developing a maturity assessment model,2005,ACIS 2005 Proceedings - 16th Australasian Conference on Information Systems,Conference Paper,CHILD
"Dunbrack, L., Hand, L.",A maturity model for mobile in healthcare,2013,IDC Health Insights: Business Strategy,Article,CHILD
"Fraser, P., Moultrie, J., Gregory, M.",The use of maturity models/grids as a tool in assessing product development capability,2002,IEEE International Engineering Management Conference,Conference Paper,CHILD
"Gandomi, A., Haider, M.","Beyond the hype: Big data concepts, methods, and analytics",2015,International Journal of Information Management,Article,CHILD
"Gibson, C.F., Nolan, R.L.",Managing the four stages of EDP growth,1974,Harvard Business Review,Article,CHILD
"Hagerty, J.",AMR research’ s business intelligence / performance management maturity model. Version 2,2006,"AMR Research's Business Intelligence/Performance Management Maturity Model, Version 2",Article,CHILD
"Hevner, A.R., March, S.T., Park, J., Ram, S.",Design science in information systems research,2004,MIS Quarterly: Management Information Systems,Article,CHILD
Hewlett-Packard,The HP Business Intelligence Maturity Model,2007,The HP Business Intelligence Maturity Model: Describing the BI Journey,Article,CHILD
[No author name available],EMR Adoption Model,2008,The EMR Adoption Model,Article,CHILD
"Staggers, N., Rodney, M., Alafaireet, P., Backman, C., Bochinski, J., Schumacher, B., Xiao, Y.",Promoting Usability in Health Organizations: initial steps and progress toward a healthcare usability maturity model,2011,Promoting Usability in Health Organizations: Initial Steps and Progress Toward A Healthcare Usability Maturity Model,Article,CHILD
"Holland, M., Dunbrack, L., Piai, S.",Healthcare IT Maturity Model: Western European Hospitals-The Leading Countries,2008,European IT opportunity: healthcare healthcare provider IT strategies,Article,CHILD
"King, J.L., Kraemer, K.L.",Evolution and Organizational Information Systems: An Assessment of Nolan's Stage Model,1984,Communications of the ACM,Article,CHILD
"Lismont, J., Vanthienen, J., Baesens, B., Lemahieu, W.",Defining analytics maturity indicators: A survey approach,2017,International Journal of Information Management,Article,CHILD
"March, S.T., Smith, G.F.",Design and natural science research on information technology,1995,Decision Support Systems,Article,CHILD
"Mathews, R.",Healthcare analytics maturity model,2015,Healthcare Analytics Maturity Model,Article,CHILD
"Mettler, T.",A design science research perspective on maturity models in information systems,2009,A Design Science Research Perspective on Maturity Models in Information Systems,Article,CHILD
"Mettler, T.",Maturity assessment models: A design science research approach,2011,International Journal of Society Systems Science,Article,CHILD
"Mettler, T.",Supply management im krankenhaus: Konstruktion und evaluation eines konfigurierbaren reifegradmodells zur zielgerichteten gestaltung,2010,Supply Management im Krankenhaus: Konstruktion und Evaluation Eines Konfigurierbaren Reifegradmodells Zur Zielgerichteten Gestaltung,Article,CHILD
"Mettler, T.",Thinking in terms of design decisions when developing maturity models,2010,International Journal of Strategic Decision Sciences,Article,CHILD
"Mettler, T., Blondiau, A.",HCMM - A maturity model for measuring and assessing the quality of cooperation between and within hospitals,2012,Proceedings - IEEE Symposium on Computer-Based Medical Systems,Conference Paper,CHILD
"Mettler, T., Rohner, P.",Situational maturity models as instrumental artifacts for organizational design,2009,"Proceedings of the 4th International Conference on Design Science Research in Information Systems and Technology, DESRIST '09",Conference Paper,CHILD
"Paulk, M.C., Curtis, B., Chrissis, M.B., Weber, C.V.",Capability maturity model for software,1993,"Capability Maturity Model for Software, Version 1.1",Article,CHILD
"Pinto-Valverde, J., Guardado, M., Ángel, M., Gomez-Martinez, L., Corrales-Estrada, M., Jarquín, J.",HDQM2: Healthcare data quality maturity,2013,Transactions of the International Conference on Health Information Technology Advancement,Article,CHILD
"Priestman, W.",ICT Strategy 2007–2011 for The Royal Liverpool and Broadgreen University Hospitals NHS Trust,2007,ICT Strategy 2007-2011 for the Royal Liverpool &amp; Broadgreen University Hospital Trust,Article,CHILD
"Raguseo, E.","Big data technologies: An empirical investigation on their adoption, benefits and risks for companies",2018,International Journal of Information Management,Article,CHILD
"Rocha, Á.",Evolution of information systems and technologies maturity in healthcare,2011,International Journal of Healthcare Information Systems and Informatics,Article,CHILD
"Roesems-Kerremans, G.",Big data in healthcare,2016,J. Healthc. Commun.,Article,CHILD
"Sharma, B.",Electronic healthcare maturity model (eHMM): A White paper,2008,Electronic Healthcare Maturity Model (eHMM),Article,CHILD
"van de Wetering, R., Batenburg, R.",A PACS maturity model: A systematic meta-analytic review on maturation and evolvability of PACS in the hospital enterprise,2009,International Journal of Medical Informatics,Article,CHILD
"Van De Wetering, R., Batenburg, R., Lederman, R.",Evolutionistic or revolutionary paths? A PACS maturity model for strategic situational planning,2010,International Journal of Computer Assisted Radiology and Surgery,Review,CHILD
"Van De Wetering, R., Batenburg, R., Oudkerk, M., Van Ooijen, P., Brinkkemper, S., Scheper, W.",A situational alignment framework for PACS,2011,Journal of Digital Imaging,Article,CHILD
"Van Dyk, L., Schutte, C.S.L.",The telemedicine service maturity model: A framework for the measurement and improvement of telemedicine services,2013,Telemedicine,Article,CHILD
"Van Velsen, L., Hermens, H., D'Hollosy, W.O.-N.",A maturity model for interoperability in eHealth,2016,"2016 IEEE 18th International Conference on e-Health Networking, Applications and Services, Healthcom 2016",Conference Paper,CHILD
"Von Wangenheim, C.G., Hauck, J.C.R., Zoucas, A., Salviano, C.F., McCaffery, F., Shull, F.",Creating software process capability/maturity models,2010,IEEE Software,Article,CHILD
"Watson, H., Ariyachandra, T., Matyska, R.J.",Data warehousing stages of growth,2001,Information Systems Management,Article,CHILD
"Wu, J.-H., Kao, H.-Y., Sambamurthy, V.",The integration effort and E-health compatibility effect and the mediating role of E-health synergy on hospital performance,2016,International Journal of Information Management,Article,CHILD
Reference Count: 45,,,,,
,,,,,
"Swenson R., Gilkerson N., Likely F., Anderson F.W., Ziviani M.",Insights from Industry Leaders: A Maturity Model for Strengthening Communication Measurement and Evaluation,2019,International Journal of Strategic Communication,Article,PARENT
"Baerns, B., van Ruler, B., Tkalac Verčič, A., Verčič, D.",Conclusions from a long-term project on professional public relations modeling and evaluation,2008,Public relations metrics: Research and evaluation,Article,CHILD
"Baskin, O., Hahn, J., Seaman, S., Reines, D.",Perceived effectiveness and implementation of public relations measurement and evaluation tools among European providers and consumers of PR services,2010,Public Relations Review,Article,CHILD
"Bissland, J.H.",Accountability gap: Evaluation practices show improvement,1990,Public Relations Review,Article,CHILD
"Broom, G.M., Smith, G.D.",Testing the practitioner's impact on clients,1979,Public Relations Review,Article,CHILD
"Buhmann, A., Likely, F., Heath, R.L., Johansen, W.",Evaluation and measurement,2018,The International Encyclopedia of Strategic Communication,Article,CHILD
"Dozier, D.M.",Program evaluation and the roles of practitioners,1984,Public Relations Review,Article,CHILD
"Dozier, D.M.",The organizational roles of communications and public relations practitioners,2013,Excellence in Public Relations and Communication Management,Book Chapter,CHILD
"Dozier, D.M., Broom, G.M.",The centrality of practitioner roles to public relations theory,2006,Public Relations Theory II,Article,CHILD
"Gregory, A.",Public relations and evaluation: Does the reality match the rhetoric?,2001,Journal of Marketing Communications,Article,CHILD
"Grunig, J.E.",Furnishing the edifice: Ongoing research on public relations as a strategic management function,2006,International Journal of Phytoremediation,Article,CHILD
"Grunig, J.E.",Conceptualizing quantitative research in public relations,2009,Public Relations Metrics: Research and Evaluation,Book Chapter,CHILD
"Grunig, J.E., Grunig, L.A.",Models of public relations and communication,2013,Excellence in Public Relations and Communication Management,Book Chapter,CHILD
"Hon, L.C.",What have you done for me lately? Exploring effectiveness in public relations,1997,Journal of Public Relations Research,Article,CHILD
"Hon, L.C.","Demonstrating effectiveness in public relations: Goals, objectives, and evaluation",1998,Journal of Public Relations Research,Article,CHILD
"Leichty, G., Springston, J.",Elaborating public relations roles,1996,Journalism and Mass Communication Quaterly,Article,CHILD
"Likely, F., Watson, T.",Measuring the edifice: Public relations measurement and evaluation practices over the course of 40 Years,2013,Public Relations and Communication Management: Current Trends and Emerging Topics,Book Chapter,CHILD
"Macnamara, J.",The fork in the road of media and communication theory and practice,2006,Presented at the 4th Annual Summit on Measurement,Article,CHILD
"Macnamara, J.",Emerging international standards for measurement and evaluation of public relations: A critical analysis,2014,Public Relations Inquiry,Article,CHILD
"Macnamara, J.",Breaking the measurement and evaluation deadlock: a new approach and model,2015,Journal of Communication Management,Article,CHILD
"Macnamara, J.","Evaluating public communication: Exploring new models, standards, and best practice",2018,"Evaluating Public Communication: Exploring New Models, Standards, and Best Practice",Article,CHILD
"Macnamara, J., Gregory, A.",Expanding Evaluation to Progress Strategic Communication: Beyond Message Tracking to Open Listening,2018,International Journal of Strategic Communication,Article,CHILD
"Macnamara, J., Likely, F.",Revisiting the disciplinary home of evaluation: New perspectives to inform PR evaluation standards,2017,Research Journal of the Institute for Public Relations,Article,CHILD
"Michaelson, D., Stacks, D.W.",Standardization in public relations measurement and evaluation,2011,Public Relations Journal,Article,CHILD
"Moss, D., Newman, A., DeSanto, B.",What do communication managers do? Defining and refining the core elements of management in a public relations/corporate communication context,2005,Journalism and Mass Communication Quarterly,Review,CHILD
"Moss, D., Likely, F., Sriramesh, K., Ferrari, M.A.",Structure of the public relations/communication department: Key findings from a global study,2017,Public Relations Review,Article,CHILD
"O'Neil, G.",Evaluation of international and non-governmental organizations' communication activities: A 15 year systematic review,2013,Public Relations Review,Article,CHILD
"Penning, T., Bain, M.",High-performing corporate communications teams: views of top CCOs,2018,Public Relations Journal,Article,CHILD
"Pieczka, M.",Objectives and evaluation in public relations work: What do they tell us about expertise and professionalism?,2000,International Journal of Phytoremediation,Article,CHILD
"Place, K.R.",Exploring the role of ethics in public relations program evaluation,2015,Journal of Public Relations Research,Article,CHILD
"Sallot, L.M., Porter, L.V., Acosta-Alzuru, C.",Practitioners' web use and perceptions of their own roles and power: A qualitative study,2004,Public Relations Review,Article,CHILD
"Schriner, M., Swenson, R., Gilkerson, N.",Outputs or outcomes? Assessing public relations evaluation practices in award-winning PR campaigns,2017,Public Relations Journal,Article,CHILD
"Sriramesh, K.",The relationship between culture and public relations,2009,"The Global Public Relations Handbook, Revised and Expanded Edition: Theory, Research, and Practice",Book Chapter,CHILD
"Tench, R., Verčič, D., Zerfass, A., Moreno, A., Verhoeven, P.","Communication excellence: How to develop, manage and lead exceptional communications",2017,"Communication Excellence: How to Develop, Manage and Lead Exceptional Communications",Book,CHILD
"Thorson, K., Michaelson, D., Gee, E., Jiang, J., Lu, Z., Luan, G., Weatherly, K., Pung, S.-L., Qin, Y., Xu, J.",Joining the movement?: Investigating standardization of measurement and evaluation within public relations,2015,Research Journal of the Institute for Public Relations,Article,CHILD
"Toth, E.L., Serini, S.A., Wright, D.K., Emig, A.G.",Trends in public relations roles: 1990-1995,1998,Public Relations Review,Article,CHILD
"Volk, S.C.","A systematic review of 40 years of public relations evaluation and measurement research: Looking into the past, the present, and future",2016,Public Relations Review,Article,CHILD
"Volk, S.C., Zerfass, A.",Alignment: Explicating a Key Concept in Strategic Communication,2018,International Journal of Strategic Communication,Article,CHILD
"Watson, T.",The evolution of public relations measurement and evaluation,2012,Public Relations Review,Article,CHILD
"Watson, T., Noble, P.",Evaluating public relations,2007,Evaluating Public Relations,Article,CHILD
"Watson, T., Simmons, P.",Public relations evaluation-survey of australian practitioners,2004,Ponencia Presentada en El Proceedings of the ANZCA 04 Conference,Article,CHILD
"Werder, K.P., Holtzhausen, D.",Organizational structures and their relationship with communication management practices: A public relations perspective from the United States,2011,International Journal of Strategic Communication,Article,CHILD
"Xavier, R., Mehta, A., Gregory, A.",Evaluation in use: The practitioner view of effective evaluation,2006,PRism,Article,CHILD
"Zerfass, A., Franke, N.","Enabling, Advising, Supporting, Executing: A Theoretical Framework for Internal Communication Consulting Within Organizations",2013,International Journal of Strategic Communication,Article,CHILD
"Zerfass, A., Moreno, A., Tench, R., Verčič, D., Verhoeven, P.",European communication monitor 2009,2009,Trends in communication management and public relations - results of a survey in 34 countries,Article,CHILD
"Zerfass, A., Verčič, D., Nothhaft, H., Werder, K.P.",Strategic Communication: Defining the Field and its Contribution to Research and Practice,2018,International Journal of Strategic Communication,Article,CHILD
"Zerfass, A., Verčič, D., Verhoeven, P., Moreno, A., Tench, R.",European Communication Monitor 2012,2012,Challenges and competencies for strategic communication. Results of an empirical survey in 42 countries,Article,CHILD
"Zerfass, A., Verčič, D., Volk, S.C.","Communication evaluation and measurement: Skills, practices and utilization in European organizations",2017,Corporate Communications,Article,CHILD
Reference Count: 47,,,,,
,,,,,
"Agwu A.E., Labib A., Hadleigh-Dunn S.",Disaster prevention through a harmonized framework for high reliability organisations,2019,Safety Science,Article,PARENT
"Alothman, A.",A detailed view of high reliability organization models in the oil industry,2016,Oil Gas Res,Article,CHILD
"Ashley, H.M., Farris, R.K., Richards, R.E.",Achieving high reliability operations through multi-program integration,2009,"6th American Nuclear Society International Topical Meeting on Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies 2009",Conference Paper,CHILD
"Ausserhofer, D., Schubert, M., Desmedt, M., Blegen, M.A., De Geest, S., Schwendimann, R.",The association of patient safety climate and nurse-related organizational factors with selected patient outcomes: A cross-sectional survey,2013,International Journal of Nursing Studies,Article,CHILD
"Aven, T., Krohn, B.S.","A new perspective on how to understand, assess and manage risk and the unforeseen",2014,Reliability Engineering and System Safety,Article,CHILD
"Backlund, F., Chronéer, D., Sundqvist, E.",Project management maturity models-A critical review: A case study within Swedish engineering and construction organizations,2014,Procedia-Social and Behavioral Sciences,Article,CHILD
"Barratt, N.",Lost Voices from the Titanic: The Definitive Oral History,2010,Lost Voices from the Titanic: The Definitive Oral History,Article,CHILD
"Berardi, P.J.","Measuring high reliability characteristics of the organisation, US: Kansas City Fire Department, assessed 20th November, 2016",2010,[No title available],Article,CHILD
