Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yin, R.K.","",[No title available],1994,"Case Study Research: Design and Methods",,"",,,,,72703,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003673547&partnerID=40&md5=375e114a871bfbf0304a36ec0fde97d7",Article,Final,"",Scopus,2-s2.0-0003673547
"Hair, J.F., Anderson, R.E., Tatham, R.L., Black, W.C.","   ",[No title available],1995,"Multivariate Data Analysis",,"",,,,,67278,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003506109&partnerID=40&md5=b9acbcafbe6852a52f04fcbe09d5de6f",Article,Final,"",Scopus,2-s2.0-0003506109
"Nunnally, J.C.","",[No title available],1978,"Psychometric Theory",,"",,,,,63723,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003528130&partnerID=40&md5=a4ea4c8d10e6c492cb97c817adacbf14",Article,Final,"",Scopus,2-s2.0-0003528130
"Zadeh, L.A.","24613216300","Fuzzy sets",1965,"Information and Control",8,"3",,338,353,,56050,10.1016/S0019-9958(65)90241-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34248666540&partnerID=40&md5=718e5f5ed89c09523982080e318d50fe",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-34248666540
"Strauss, A., Corbin, J."," ",[No title available],1998,"Basics of Qualitative Research: Techniques and Procedures for Developing Grounded Theory",,"",,,,,54273,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0037941821&partnerID=40&md5=8015a6414d5bff97027b25fb0b516b8c",Article,Final,"",Scopus,2-s2.0-0037941821
"Patton, M.Q.","",[No title available],1990,"Qualitative Evaluation and Research Methods",,"",,,,,47884,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003743782&partnerID=40&md5=f3a02f7ba69df1f50001e679d0448013",Article,Final,"",Scopus,2-s2.0-0003743782
"Miles, M.B., Huberman, A.M."," ",[No title available],1994,"Qualitative Data Analysis",,"",,,,,46131,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003784156&partnerID=40&md5=80ed28a0f440f923e404613d49dfe425",Article,Final,"",Scopus,2-s2.0-0003784156
"Lincoln, Y.S., Guba, E.G."," ","Naturalistic inquiry",1985,"Naturalistic Inquiry",,"",,,,,31291,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0004253047&partnerID=40&md5=5895a279c1a1b197bcb81f5ee4a34388",Article,Final,"",Scopus,2-s2.0-0004253047
"Lave, J., Wenger, E."," ",[No title available],1991,"Situated Learning: Legitimate Peripheral Participation",,"",,,,,28449,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003398064&partnerID=40&md5=0e1f18b192070bda9be43936c50a89f1",Article,Final,"",Scopus,2-s2.0-0003398064
"Schön, D.A.","","The reflective practitioner: How professionals think in action",1983,"The Reflective Practitioner: How Professionals Think in Action",,"",,,,,27770,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0003826852&partnerID=40&md5=1e2d801cca4777c72b5997ffddd42556",Article,Final,"",Scopus,2-s2.0-0003826852
