Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Dehning B., Stratopoulos T.",Determinants of a sustainable competitive advantage due to an IT-enabled strategy,2003,Journal of Strategic Information Systems,Article,PARENT
Andersen T.J.,"Information technology, strategic decision making approaches and organizational performance in different industrial settings",2001,Journal of Strategic Information Systems,Article,CHILD
"Ballou M., Slater D.",One-minute advantage,1994,Computer World,,CHILD
"Barber B.M., Lyon J.D.",Detecting abnormal operating performance: The empirical power and specification of test statistics,1996,Journal of Financial Economics,Article,CHILD
Barney J.B.,"Strategic factor markets: Expectations, luck, and business strategy",1986,Management Science,,CHILD
Barney J.,Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
Barney J.B.,Gaining and sustaining competitive advantage,1997,Gaining and Sustaining Competitive Advantage,,CHILD
"Barua A., Mukhopadhyay T.","Information technology and business performance: Past, present and future",2000,Framing the Domains of IT Management: Projecting the Future Through the Past,,CHILD
Bharadwaj A.S.,A resource-based perspective on information technology capability and firm performance: An empirical investigation,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Bharadwaj A.S., Bharadwaj S.G., Konsynski B.R.",Information technology effects on firm performance as measured by Tobin's q,1999,Management Science,Article,CHILD
"Bharadwaj A.S., Sambamurthy V., Zmud R.W.",IT capabilities: Theoretical perspectives and empirical operationalization,1999,Proceedings of the 19th International Conference on Information Systems,,CHILD
Castanias R.P.,Managerial Resources and Rents,1991,Journal of Management,Article,CHILD
"Chen M.-J., MacMillan I.C.",Nonresponse and delayed response to competitive moves: The roles of competitor dependence and action irreversibility,1992,Academy of Management Journal,,CHILD
"Chen M.‐J., Miller D.","Competitive attack, retaliation and performance: An expectancy‐valence framework",1994,Strategic Management Journal,Article,CHILD
"Chen M.-J., Smith K.G., Grimm C.M.",Action characteristics as predictors of competitive responses,1992,Management Science,,CHILD
"Collis D.J., Montgomery C.A.",Competing on resources: Strategy in the 1990s,1995,Harvard Business Review,,CHILD
"Laberis B., Kelleher J.",Computerworld,1993,Computerworld Premier 100: How the Best Are Playing the New Business Game,,CHILD
"Dierickx I., Cool K.",Asset stock accumulation and sustainability of competitive advantage,1989,Management Science,,CHILD
Duncan N.B.,Capturing flexibility of information technology infrastructure: A study of resource characteristics and their measure,1995,Journal of Management Information Systems,Article,CHILD
"Earl M., Feeny D.",How to be a CEO for the information age,2000,Sloan Management Review,,CHILD
Edmondson A.,Psychological safety and learning behavior in work teams,1999,Administrative Science Quarterly,Article,CHILD
Hidding G.J.,Sustaining strategic IT advantage in the information age: How strategy paradigms differ by speed,2001,Journal of Strategic Information Systems,Article,CHILD
Katz R.L.,Skills of an effective administrator,1974,Harvard Business Review,,CHILD
"Keats B.W., Hitt M.A.","A causal model of linkages among environmental dimensions, macro organizational characteristics, and performance",1988,Academy of Management Journal,,CHILD
"Kettinger W.J., Grover V., Guha S., Segars A.H.",Strategic information systems revisited: A study in sustainability and performance,1994,MIS Quarterly: Management Information Systems,Article,CHILD
"Konsynski B.R., McFarlan F.W.","Information partnerships--shared data, shared scale.",1990,Harvard business review,Article,CHILD
Lenz R.T.,‘Determinants’ of organizational performance: An interdisciplinary review,1981,Strategic Management Journal,Article,CHILD
Loveman G.W.,An assessment of the productivity impact of information technologies,1994,Information Technology and the Corporation of the 1990s: Research Studies,,CHILD
"Mahmood M.G., Mann I., Dubrow M., Skidmore J.",Information technology investment and organization performance: A lagged data analysis,1998,Effective Utilization and Management of Emerging Information Technologies,,CHILD
Makadok R.,Toward a synthesis of the resource-based and dynamic-capability views of rent creation,2001,Strategic Management Journal,Article,CHILD
McFarlan F.W.,Information technology changes the way you compete,1984,Harvard Business Review,,CHILD
Nash K.,Overnight services duke it out on-line,1996,ComputerWorld,,CHILD
Neo B.S.,Factors facilitating the use of Information Technology for competitive advantage: An exploratory study,1988,Information and Management,Article,CHILD
Panko R.R.,Is office productivity stagnant?,1991,MIS Quarterly: Management Information Systems,Article,CHILD
Pastore R.,Competing Interests,1995,Competing Interests,,CHILD
Peteraf M.A.,The cornerstones of competitive advantage: A resource‐based view,1993,Strategic Management Journal,Article,CHILD
Porter M.E.,How competitive forces shape strategy,1979,Harvard Business Review,,CHILD
"Porter M.E., Millar V.E.",How information gives you competitive advantage,1985,Harvard Business Review,,CHILD
"Rumelt R.P., Schendel D., Teece D.J.",Strategic management and economics,1991,Strategic Management Journal,Article,CHILD
Sambamurthy V.,Business strategy in hypercompetitive environments: Rethinking the logic of IT differentiation,2000,Framing the Domains of IT Management: Projecting the Future Through the Past,,CHILD
"Sircar S., Turnbow J.L., Bordoloi B.",A framework for assessing the relationship between information technology investments and firm performance,2000,Journal of Management Information Systems,Article,CHILD
"Stratopoulos T., Dehning B.",Does successful investment in information technology solve the productivity paradox?,2000,Information and Management,Article,CHILD
"Teece D.J., Pisano G., Shuen A.",Dynamic capabilities and strategic management,1997,Strategic Management Journal,Article,CHILD
Venkatraman N.,IT-induced business reconfiguration,1991,The Corporation of the 1990s,,CHILD
Walsh M.,The air bill joins the 8-track,1997,Internet World,,CHILD
Weill P.,The relationship between investment in information technology and firm performance: A study of the valve manufacturing sector,1992,Information Systems Research,Article,CHILD
"Weill P., Broadbent M.",Managing IT infrastructure: A strategic choice,2000,Framing the Domains of IT Management: Projecting the Future Through the Past,,CHILD
Wernerfelt B.,A resource‐based view of the firm,1984,Strategic Management Journal,Article,CHILD
Reference Count: 47,,,,,
,,,,,
"Santhanam R., Hartono E.",Issues in linking information technology capability to firm performance,2003,MIS Quarterly: Management Information Systems,Review,PARENT
Barney J.,Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
"Benbasat I., Zmud R.W.",Empirical research in information systems: The practice of relevance,1999,MIS Quarterly: Management Information Systems,Article,CHILD
"Berthon P., Pitt L., Ewing M., Carr C.L.","Potential research space in MIS: A framework for envisioning and evaluating research replication, extension, and generation",2002,Information Systems Research,Article,CHILD
Bharadwaj A.S.,A resource-based perspective on information technology capability and firm performance: An empirical investigation,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Bharadwaj A.S., Sambamurthy V., Zmud R.W.",IT capabilities: Theoretical perspectives and empirical operationalization,1999,Proceedings of the 19th International Conference on Information Systems,,CHILD
"Brown B., Perry S.","Removing the financial performance halo from Fortune's ""most admired"" companies",1994,Academy of Management Journal,,CHILD
"Brynjolfsson E., Hitt L.M.",Beyond the Productivity Paradox,1998,Communications of the ACM,Article,CHILD
Chan Y.E.,IT Value: The great divide between qualitative and quantitative and individual and organizational measures,2000,Journal of Management Information Systems,Article,CHILD
"Clemons E.K., Row M.C.",Sustaining IT advantage: The role of structural differences,1991,MIS Quarterly: Management Information Systems,Article,CHILD
Dreyfus J.,IW 500: A methodology,1994,Information Week,,CHILD
"Fama E.F., French K.R.",Forecasting profitability and earnings,2000,Journal of Business,Article,CHILD
Grant R.M.,The Resource-Based Theory of Competitive Advantage: Implications for Strategy Formulation,1991,California Management Review,Article,CHILD
"Hitt L.M., Brynjolfsson E.","Productivity, business profitability, and consumer surplus: Three different measures of information technology value",1996,MIS Quarterly: Management Information Systems,Article,CHILD
Ives B.,Probing the productivity paradox,1994,MIS Quarterly,,CHILD
"Mahmood M.A., Mann G.J.",Impacts of information technology investment on organizational performance,2000,Journal of Management Information Systems,Article,CHILD
Makadok R.,Toward a synthesis of the resource-based and dynamic-capability views of rent creation,2001,Strategic Management Journal,Article,CHILD
"Martinsons M.G., Martinsons V.","Rethinking the value of IT, again",2002,Communications of the ACM,Review,CHILD
"Mata F.J., Fuerst W.L., Barney J.B.",Information technology and sustained competitive advantage: A resource-based analysis,1995,MIS Quarterly: Management Information Systems,Article,CHILD
"Robbins D.K., Pearce J.A., II",Turnaround: Retrenchment and recovery,1992,Strategic Management Journal,Article,CHILD
Rosenthal R.,Replication in behavioral research,1991,Replication Research in the Social Sciences,,CHILD
"Ross J.W., Beath C.M., Goodhue D.L.",Develop long-term competitiveness through IT assets,1996,Sloan Management Review,,CHILD
Sambamurthy V.,Research in information systems: What we haven't learned,2001,MIS Quarterly,,CHILD
"Teece D.J., Pisano G., Shuen A.",Dynamic capabilities and strategic management,1997,Strategic Management Journal,Article,CHILD
"Tsang E.W.K., Kwan K.-M.",Replication and theory development in organizational science: A critical realist perspective,1999,Academy of Management Review,Article,CHILD
"Weill P., Olson M.H.",Managing investment in information technology: Mini case examples and implications,1989,MIS Quarterly: Management Information Systems,Article,CHILD
Reference Count: 25,,,,,
,,,,,
"Sambamurthy V., Bharadwaj A., Grover V.",Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,2003,MIS Quarterly: Management Information Systems,Article,PARENT
"Agarwal R., Sambamurthy V.",Principles and models for organizing the IT function,2002,MIS Quarterly Executive,,CHILD
"Alavi M., Leidner D.E.",Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues,2001,MIS Quarterly: Management Information Systems,Article,CHILD
"Amit R., Zott C.",Value creation in e-business,2001,Strategic Management Journal,Article,CHILD
Argyres N.S.,"The Impact of Information Technology on Coordination: Evidence from the B-2 ""Stealth"" Bomber",1999,Organization Science,Article,CHILD
Arthur W.B.,Increasing returns and the new world of business.,1996,Harvard business review,Article,CHILD
Barney J.,Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
Barney J.B.,"Strategic factor markets: Expectations, luck, and business strategy",1986,Management Science,,CHILD
"Beath C.M., Ives B.",Competitive information systems in support of pricing,1986,MIS Quarterly,,CHILD
"Benjamin Robert I., Rockart John F., Scott Morton Michael S., Wyman John",INFORMATION TECHNOLOGY: A STRATEGIC OPPORTUNITY.,1984,Sloan management review,Article,CHILD
Bharadwaj A.S.,A resource-based perspective on information technology capability and firm performance: An empirical investigation,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Bharadwaj A.S., Bharadwaj S.G., Konsynski B.R.",Information technology effects on firm performance as measured by Tobin's q,1999,Management Science,Article,CHILD
"Boland R.J., Tenkasi R.V.",Perspective making and perspective taking in communities of knowing,1995,Organization Science,,CHILD
Boynton A.C.,Achieving Dynamic Stability through Information Technology,1993,California Management Review,Article,CHILD
"Brown S.L., Eisenhardt K.M.",The art of continuous change: Linking complexity theory and time-paced evolution in relentlessly shifting organizations,1997,Administrative Science Quarterly,Article,CHILD
"Brown S.L., Eisenhardt K.M.","Product development: Past research, present findings, and future directions",1995,Academy of Management Review,,CHILD
"Choudhury V., Xia W.",A resource-based theory of network structures,1999,Research in Strategic Management and Information Technology,,CHILD
"Cohen W.M., Levinthal D.A.",Absorptive capacity: A new perspective on learning and innovation,1990,Administrative Science Quarterly,,CHILD
"Constant D., Sproull L., Kiesler S.",The Kindness of Strangers: The Usefulness of Electronic Weak Ties for Technical Advice,1996,Organization Science,Article,CHILD
D'Aveni R.A.,Hypercompetition: Managing the dynamics of strategic maneuvering,1994,Hypercompetition: Managing the Dynamics of Strategic Maneuvering,,CHILD
Davenport T.H.,Mission critical: Realizing the promise of enterprise systems,2000,Mission Critical: Realizing the Promise of Enterprise Systems,,CHILD
"Davenport T.H., Prusak L.",Working knowledge,1998,Working Knowledge,,CHILD
"Dewett T., Jones G.R.","The role of information technology in the organization: A review, model, and assessment",2001,Journal of Management,Article,CHILD
"Dyer J.H., Singh H.",The relational view: Cooperative strategy and sources of interorganizational competitive advantage,1998,Academy of Management Review,Article,CHILD
Echikson W.,When oil gets connected,2001,Business Week,,CHILD
Eisenhardt K.M.,Making fast strategic decisions in high-velocity environments,1989,Academy of Management Journal,,CHILD
Eisenhardt K.M.,Strategy as strategic decision making,1999,Sloan Management Review,,CHILD
"Eisenhardt K.M., Brown S.L.",Patching. Restitching business portfolios in dynamic markets.,1999,Harvard business review,Article,CHILD
"Eisenhardt K.M., Galunic D.C.","Coevolving: At last, a way to make synergies work",2000,Harvard Business Review,,CHILD
"Eisenhardt K.M., Martin J.A.",Dynamic capabilities: What are they?,2000,Strategic Management Journal,Article,CHILD
"Eisenhardt K.M., Sull D.N.",Strategy as simple rules.,2001,Harvard business review,Article,CHILD
"El Sawy O.A., Malhotra A., Gosain S., Young K.M.",IT-intensive value innovation in the electronic economy: Insights from Marshall Industries,1999,MIS Quarterly: Management Information Systems,Article,CHILD
"Evans P., Wurster T.S.",Blown to bits: How the new economics of information transforms strategy,2000,Blown to Bits: How the New Economics of Information Transforms Strategy,,CHILD
"Ferrier W.J., Smith K.G., Grimm C.M.",The role of competitive action in market share erosion and industry dethronement: A study of industry leaders and challengers,1999,Academy of Management Journal,Article,CHILD
"Feeny D.F., Willcocks L.P.",Core IS capabilities for exploiting information technology,1998,Sloan Management Review,,CHILD
Garvin D.A.,The processes of organization and management,1998,Sloan Management Review,,CHILD
"Grover V., Davenport T.H.",General perspectives on knowledge management: Fostering a research agenda,2001,Journal of Management Information Systems,Article,CHILD
"Grover V., Ramanlal P.","Six myths of information and markets: Information technology networks, electronic commerce, and the battle for consumer surplus",1999,MIS Quarterly: Management Information Systems,Article,CHILD
Gulati R.,Network location and learning: The influence of network resources and firm capabilities on alliance formation,1999,Strategic Management Journal,Article,CHILD
"Helfat C.E., Raubitschek R.S.","Product sequencing: Co-evolution of knowledge, capabilities and products",2000,Strategic Management Journal,Article,CHILD
Henderson J.C.,Plugging into strategic partnerships: The critical IS connection,1990,Sloan Management Review,,CHILD
"Hitt L.M., Brynjolfsson E.","Productivity, business profitability, and consumer surplus: Three different measures of information technology value",1996,MIS Quarterly: Management Information Systems,Article,CHILD
Hof R.D.,The people's company,2001,Business Week,,CHILD
Holmström H.,Virtual communities as platforms for product development: An interpretive case study of customer involvement in online game development,2001,Proceedings of the 22nd International Conference on Information Systems,,CHILD
"Ives B., Learmonth G.P.",The information system as a competitive weapon,1984,Communications of the ACM,Article,CHILD
Jacobson R.,"The ""Austrian"" school of strategy",1992,Academy of Management Review,,CHILD
"Kambil A., Friesen G.B., Sundaram A.",Co-creation: A new source of value,1999,Outlook Magazine,,CHILD
Keen P.G.W.,Shaping the future: Business design through information technology,1991,Shaping the Future: Business Design Through Information Technology,,CHILD
"Kettinger W.J., Grover V., Guha S., Segars A.H.",Strategic information systems revisited: A study in sustainability and performance,1994,MIS Quarterly: Management Information Systems,Article,CHILD
Kirzner I.M.,Competition and entrepreneurship,1973,Competition and Entrepreneurship,,CHILD
"Kogut B., Kulatilaka N.",Options Thinking and Platform Investments: Investing in Opportunity,1994,California Management Review,Article,CHILD
"Kogut B., Zander U.","Knowledge of the firm, combinative capabilities, and the replication of technology",1992,Organization Science,,CHILD
"Kohli A.K., Jaworski B.J.","Market orientation: The construct, research propositions, and managerial implications",1990,Journal of Marketing,,CHILD
"Lengnick-Hall C.A., Wolff J.A.",Similarities and contradictions in the core logic of three strategy research streams,1999,Strategic Management Journal,Article,CHILD
Makadok R.,Toward a synthesis of the resource-based and dynamic-capability views of rent creation,2001,Strategic Management Journal,Article,CHILD
March J.G.,Exploration and exploitation in organizational learning,1991,Organization Science,,CHILD
"Marchand D.A., Kettinger W.J., Rollins J.D.","Information orientation: People, technology and the bottom line",2000,Sloan Management Review,,CHILD
"Mata F.J., Fuerst W.L., Barney J.B.",Information technology and sustained competitive advantage: A resource-based analysis,1995,MIS Quarterly: Management Information Systems,Article,CHILD
"Miller D., Chen M.-J.",The simplicity of competitive repertoires: An empirical analysis,1996,Strategic Management Journal,Article,CHILD
Mintzberg H.,The manager's job: Folklore and fact,1975,Harvard Business Review,,CHILD
Porter M.E.,Strategy and the Internet.,2001,Harvard business review,Article,CHILD
"Quinn J.B., Baily M.N.",Information technology: Increasing productivity in services,1994,Academy of Management Executive,,CHILD
"Rayport J.F., Sviokla J.J.",Exploiting the virtual value chain,1995,Harvard Business Review,,CHILD
"Rindova V.P., Kotha S.","Continuous ""morphing"": Competing through dynamic capabilities, form, and function",2001,Academy of Management Journal,Article,CHILD
"Ross J.W., Beath C.M., Goodhue D.L.",Develop long-term competitiveness through IT assets,1996,Sloan Management Review,,CHILD
Sambamurthy V.,Business strategy in hypercompetitive environments: Rethinking the logic of IT differentiation,2000,Framing the Domains of IT Management: Projecting the Future Through the Past,,CHILD
"Slywotzky A.J., Mundt K.A., Quella J.A.",Pattern thinking,1999,Management Review,,CHILD
"Spreitzer G.M., McCall Jr. M.W., Mahoney J.D.",Early identification of international executive potential,1997,Journal of Applied Psychology,Article,CHILD
"Teece D.J., Pisano G., Shuen A.",Dynamic capabilities and strategic management,1997,Strategic Management Journal,Article,CHILD
"Treacy M., Wiersema F.",Customer intimacy and other value disciplines,1993,Harvard Business Review,,CHILD
"Venkatraman N., Henderson J.C.",Real strategies for virtual organizing,1998,Sloan Management Review,,CHILD
Vitale M.R.,The growing risks of information systems success,1986,MIS Quarterly: Management Information Systems,Article,CHILD
Keick K.E.,Cosmos vs. chaos: Sense and nonsense in electronic contexts,1985,Organizational Dynamics,Article,CHILD
Wheeler B.C.,NEBIC: A dynamic capabilities theory for assessing net-enablement,2002,Information Systems Research,Article,CHILD
"Young G., Smith K.G., Grimm C.M.","""Austrian"" and Industrial Organization Perspectives on Firm-level Competitive Activity and Performance",1996,Organization Science,Article,CHILD
"Zaheer A., Zaheer S.","Catching the wave: Alertness, responsiveness, and market influence in global electronic networks",1997,Management Science,Article,CHILD
Reference Count: 75,,,,,
,,,,,
"Weill P., Subramani M., Broadbent M.",Building IT infrastructure for: Strategic agility,2002,MIT Sloan Management Review,Article,PARENT
Barney J.,Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
Keen P.G.W.,Shaping the future: Business design through information technology,1991,Shaping the Future: Business Design Through Information Technology,,CHILD
"McKay D.T., Brockway D.W.",Building IT infrastructure for the 1990s,1989,Stage by Stage,,CHILD
"Broadbent M., Weill P.",Management by maxim: How business and IT managers can create IT infrastructures,1997,Sloan Management Review,,CHILD
Keen P.,Every Manager's Guide to Information Technology,1991,Every Manager's Guide to Information Technology,,CHILD
"Weill P., Broadbent M., Goh A.",Client Infrastructure Services: A Study of the Management and Value of PC and LAN Infrastructure,1997,research report,,CHILD
"Quinn J.B., Hilmer F.G.",Strategic outsourcing,1994,Sloan Management Review,,CHILD
"Brandenburger A.M., Nalebuff B.J.",Co-opetition,1996,Co-opetition,,CHILD
"Malone T.W., Yates J., Benjamin R.I.",Electronic markets and electronic hierarchies,1987,Communications of the ACM,Article,CHILD
Timmers P.,Business models for electronic markets,1998,Electronic Markets,,CHILD
Reference Count: 10,,,,,
,,,,,
"Ross J.W., Beath C.M.",Beyond the business case: New approaches to it investment,2002,MIT Sloan Management Review,Article,PARENT
Feeny D.,Making business sense of the: E-opportunity,2001,MIT Sloan Management Review,Article,CHILD
"Broadbent M., Weill P.",Management by maxim: How business and IT managers can create IT infrastructures,1997,Sloan Management Review,,CHILD
"Taudes A., Feurstein M., Mild A.",Options analysis of software platform decisions: A case study,2000,MIS Quarterly: Management Information Systems,Article,CHILD
Dos Santos B.L.,Justifying investments in new information technologies,1990,Journal of Management Information Systems,Article,CHILD
"Kambil A., Henderson C.J., Mohsenzadeh H.",Strategic management of information technology investments: An options perspective,1993,Strategic Information Technology Management: Perspectives on Organizational Growth and Competitive Advantage,,CHILD
"Herath H.S.B., Park C.S.",Economic analysis of R&D projects: An options approach,1999,Engineering Economist,Article,CHILD
Reference Count: 6,,,,,
,,,,,
"Mykytyn K., Mykytyn Jr. P.P., Bordoloi B., McKinney V., Bandyopadhyay K.",The role of software patents in sustaining IT-enabled competitive advantage: A call for research,2002,Journal of Strategic Information Systems,Article,PARENT
"Aaker D.A., Day G.S.",The perils of high‐growth markets,1986,Strategic Management Journal,Article,CHILD
Ahuja G.,"Collaboration networks, structural holes, and innovation: A longitudinal study",2000,Administrative Science Quarterly,Article,CHILD
Ahuja G.,The duality of collaboration: Inducements and opportunities in the formation of interfirm linkages,2000,Strategic Management Journal,Article,CHILD
Barney J.,Firm Resources and Sustained Competitive Advantage,1991,Journal of Management,Article,CHILD
"Bender D., Barkume A.R.",Patents for software-related inventions,1992,Software Law Journal,,CHILD
Biddinger B.P.,"Limiting the business method patent: A comparison and proposed alignment of European, Japanese, and United States patent law",2001,Fordham Law Review,,CHILD
"Boudreau M.-C., Loch K.D., Robey D., Straud D.",Going Global: Using information technology to advance the competitiveness of the virtual transnational organization,1998,Academy of Management Executive,Article,CHILD
Bresnahan J.,Choose your poison,2000,CIO Magazine,,CHILD
Bulkeley W.M.,Will software patents cramp creativity?,1989,Wall Street Journal,,CHILD
Cantzler C.S.,State Street: Leading the Way to Consistency for Patentability of Computer Software,2000,Colorado Law Review,,CHILD
Clemons E.K.,Information systems for sustainable competitive advantage,1986,Information and Management,Article,CHILD
"Clemons E.K., Row M.C.",Sustaining IT advantage: The role of structural differences,1991,MIS Quarterly: Management Information Systems,Article,CHILD
"Clemons E.K., Weber B.W.",Strategic information technology investments: Guidelines for decision making,1990,Journal of Management Information Systems,Article,CHILD
"Clemons E.K., Knez M.",Competition and cooperation in information systems innovation,1988,Information and Management,Article,CHILD
"Glazer S., Kahn S.",Patenting software in the United States,1995,Managing Intellectual Property,,CHILD
Hibbard J.,Protecting innovation,1999,Information Week,,CHILD
"Jarvenpaa S.L., Ives B.",Information technology and corporate strategy: A view from the top,1990,Information Systems Research,Article,CHILD
