Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Asatiani A., Apte U., Penttinen E., Rönkkö M., Saarinen T.",Outsourcing of disaggregated services in cloud-based enterprise information systems,2014,Proceedings of the Annual Hawaii International Conference on System Sciences,Conference Paper,PARENT
"Apte, U.M., Mason, R.O.",Global disaggregation of information-intensive services,1995,Management Science,Article,CHILD
"Williamson, O.E.",The economics of organization: The transaction cost approach,1981,American Journal of Sociology,Article,CHILD
"Dibbern, J., Goles, T., Hirschheim, R., Jayatilaka, B.",Information Systems Outsourcing: A Survey and Analysis of the Literature,2004,Data Base for Advances in Information Systems,Article,CHILD
"Applegate, L., Montealegre, R.",Eastman kodak company: Managing information systems through strategic alliances,1991,Harvard Business School Case,Article,CHILD
"Apte, U.M., Sobol, M.G., Hanaoka, S., Shimada, T., Saarinen, T., Salmela, T., Vepsalainen, A.P.J.","IS outsourcing practices in the USA, Japan and Finland: A comparative study",1997,Journal of Information Technology,Article,CHILD
"Millar, V.",Outsourcing trends,1994,"Proceedings of the Outsourcing, Cosourcing and Insourcing Conference",Article,CHILD
"Rouse, A.C., Corbitt, B.J.",Business process outsourcing: The hysteresis effect and other lessons,2006,"Information Systems Outsourcing (Second Edition): Enduring Themes, New Perspectives and Global Challenges",Book Chapter,CHILD
"Mani, D., Barua, A., Whinston, A.",An empirical analysis of the impact of information capabilities design on business process outsourcing performance,2010,MIS Quarterly: Management Information Systems,Article,CHILD
"Lacity, M.C., Khan, S.A., Willcocks, L.P.",A review of the IT outsourcing literature: Insights for practice,2009,Journal of Strategic Information Systems,Article,CHILD
"Borman, M.",Applying multiple perspectives to the BPO decision: A case study of call centres in Australia,2006,Journal of Information Technology,Article,CHILD
"Kakabadse, A., Kakabadse, N.",Outsourcing: Current and future trends,2005,Thunderbird International Business Review,Review,CHILD
"Böhm, M., Koleva, G., Leimeister, S., Riedl, C., Krcmar, H.",Towards a generic value network for cloud computing,2010,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,CHILD
"Marston, S., Li, Z., Bandyopadhyay, S., Zhang, J., Ghalsasi, A.",Cloud computing - The business perspective,2011,Decision Support Systems,Article,CHILD
"Youseff, L., Butrico, M., Da Silva, D.",Toward a unified ontology of cloud computing,2008,"Grid Computing Environments Workshop, GCE 2008",Conference Paper,CHILD
"Vaquero, L.M., Rodero-Merino, L., Caceres, J., Lindner, M.",A break in the clouds: Towards a cloud definition,2009,ACM SIGCOMM Computer Communication Review,Article,CHILD
"Böhm, M., Leimeister, S., Riedl, C., Krcmar, H.",Cloud computing-outsourcing 2.0 or a new business model for IT provisioning?,2011,Application Management,Article,CHILD
"Motahari-Nezhad, H.R., Stephenson, B., Singhal, S.",Outsourcing business to cloud computing services: Opportunities and challenges,2009,IEEE Internet Computing,Article,CHILD
"Leavitt, N.",Is cloud computing really ready for prime time?,2009,Computer,Article,CHILD
"Talukder, A.K., Zimmerman, L., Prahalad, H.A.","Cloud economics: Principles, costs, and benefits",2010,"Cloud Computing: Principles, Systems and Applications",Article,CHILD
"Kedia, B.L., Mukherjee, D.","Understanding offshoring: A research framework based on disintegration, location and externalization advantages",2009,Journal of World Business,Article,CHILD
"Jacobides, M.G.",Industry change through vertical disintegration: How and why markets emerged in mortgage banking,2005,Academy of Management Journal,Review,CHILD
"Mithas, S., Whitaker, J.","Is the world flat or spiky? Information intensity, skills, and global service disaggregation",2007,Information Systems Research,Article,CHILD
"Porter, M.E., Millar, V.E.",How information gives you competitive advantage,1985,Harvard Business Review,Article,CHILD
"Chase, Richard B.",CUSTOMER CONTACT APPROACH TO SERVICES: THEORETICAL BASES AND PRACTICAL EXTENSIONS.,1981,Operations Research,Article,CHILD
"Williamson, O.E.",Transaction-cost economics: The governance of contractual relations,1979,Journal of Law and Economics,Article,CHILD
"Lacity, M.C., Willcocks, L.P., Khan, S.",Beyond Transaction Cost Economics: Towards an endogenous theory of Information Technology Outsourcing,2011,Journal of Strategic Information Systems,Article,CHILD
"Thouin, M.F., Hoffman, J.J., Ford, E.W.",IT outsourcing and firm-level performance: A transaction cost perspective,2009,Information and Management,Article,CHILD
"Aubert, B.A., Houde, J.-F., Patry, M., Rivard, S.",A multi-level investigation of information technology outsourcing,2012,Journal of Strategic Information Systems,Article,CHILD
"Alaghehband, F.K., Rivard, S., Wu, S., Goyette, S.",An assessment of the use of transaction cost theory in information technology outsourcing,2011,Journal of Strategic Information Systems,Article,CHILD
[No author name available],"Commission recommendation of 6 May 2003 concerning the definition of micro, small and medium-sized enterprises",2003,Official Journal of the European Union,Article,CHILD
Reference Count: 30,,,,,
,,,,,
"Lian J.-W., Yen D.C., Wang Y.-T.",An exploratory study to understand the critical factors affecting the decision to adopt cloud computing in Taiwan hospital,2014,International Journal of Information Management,Article,PARENT
"Agarwal, R., Prasad, J.",A Conceptual and Operational Definition of Personal Innovativeness in the Domain of Information Technology,1998,Information Systems Research,Article,CHILD
"Barua, M., Liang, X., Lu, R., Shen, X.",ESPAC: Enabling security and patient-centric access control for ehealth in cloud computing,2011,International Journal of Security and Networks,Article,CHILD
"Chang, I.-C., Hwang, H.-G., Hung, M.-C., Lin, M.-H., Yen, D.C.",Factors affecting the adoption of electronic signature: Executives' perspective of hospital information department,2007,Decision Support Systems,Article,CHILD
"Chang, I.-C., Hwang, H.-G., Yen, D.C., Lian, J.W.",Critical factors for adopting PACS in Taiwan: Views of radiology department directors,2006,Decision Support Systems,Article,CHILD
"Chatman, C.",How cloud computing is changing the face of health care information technology,2010,Journal of Health Care Compliance,Article,CHILD
"Chong, A.Y.-L., Chan, F.T.S.",Structural equation modeling for multi-stage analysis on Radio Frequency Identification (RFID) diffusion in the health care industry,2012,Expert Systems with Applications,Article,CHILD
"Hsiao, S.-J., Li, Y.-C., Chen, Y.-L., Ko, H.-C.",Critical factors for the adoption of mobile nursing information systems in Taiwan: The nursing department administrators' perspective,2009,Journal of Medical Systems,Article,CHILD
"Hung, S.-Y., Hung, W.-H., Tsai, C.-A., Jiang, S.-C.",Critical factors of hospital adoption on CRM system: Organizational and information system perspectives,2010,Decision Support Systems,Article,CHILD
"Jansen, W., Grance, T.",Guidelines on security and privacy in public cloud computing,2011,NIST Special Publication,Article,CHILD
"Kazley, A.S., Ozcan, Y.A.",Organizational and environmental determinants of hospital EMR adoption: A national study,2007,Journal of Medical Systems,Article,CHILD
"Kuan, K.K.Y., Chau, P.Y.K.",A perception-based model for EDI adoption in small businesses using a technology-organization-environment framework,2001,Information and Management,Article,CHILD
"Kuo, A.M.-H.",Opportunities and challenges of cloud computing to improve health care services,2011,Journal of Medical Internet Research,Review,CHILD
"Lin, C.-H., Lin, I.-C., Roan, J.-S., Yeh, J.-S.",Critical factors influencing hospitals' adoption of hl7 version 2 standards: An empirical investigation,2012,Journal of Medical Systems,Article,CHILD
