Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Cheng B., Zhou X., Guo G., Yang K.",Perceived Overqualification and Cyberloafing: A Moderated-Mediation Model Based on Equity Theory,2020,Journal of Business Ethics,Article,PARENT
"Adams, J.S.",Towards an understanding of inequity,1963,Journal of Abnormal and Social Psychology,Article,CHILD
"Adams, J.S.",Inequity In Social Exchange,1965,Advances in Experimental Social Psychology,Article,CHILD
"Aiken, L.S., West, S.G.",Multiple regression: Testing and interpreting interactions,1991,Multiple Regression: Testing and Interpreting Interactions,Article,CHILD
"Akbulut, Y., Dursun, Ö.Ö., Dönmez, O., Şahin, Y.L.",In search of a measure to investigate cyberloafing in educational settings,2016,Computers in Human Behavior,Article,CHILD
"Ambrose, M.L., Seabright, M.A., Schminke, M.",Sabotage in the workplace: The role of organizational injustice,2002,Organizational Behavior and Human Decision Processes,Article,CHILD
"Anandarajan, M., Simmers, C.A.",Developing human capital through personal web use in the workplace: Mapping employee perceptions,2005,Communications of the Association for Information Systems,Article,CHILD
"Anderson, J.C., Gerbing, D.W.",Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach,1988,Psychological Bulletin,Article,CHILD
"Aquino, K., Lewis, M.U., Bradfield, M.","Justice constructs, negative affectivity, and employee deviance: A proposed model and empirical test",1999,Journal of Organizational Behavior,Article,CHILD
"Armstrong, J.S., Overton, T.S.",Estimating nonresponse bias in mail surveys,1977,Journal of Marketing Research,Article,CHILD
"Ajzen, I.",The theory of planned behavior,1991,Organizational Behavior and Human Decision Processes,Article,CHILD
"Askew, K., Coovert, M.D., Vandello, J.A., Taing, M.U., Bauer, J.A.",Work environment factors predict cyberloafing,2011,Annual Meeting of the American Psychological Society,Article,CHILD
"Blanchard, A.L., Henle, C.A.",Correlates of different forms of cyberloafing: The role of norms and external locus of control,2008,Computers in Human Behavior,Article,CHILD
"Bolino, M.C., Feldman, D.C.",The antecedents and consequences of underemployment among expatriates,2000,Journal of Organizational Behavior,Article,CHILD
"Boyatzis, R.E., Kolb, D.A.",From learning styles to learning skills: The executive skills profile,1995,Journal of Managerial Psychology,Article,CHILD
"Brislin, R.W.",Translation and content analysis of oral and written material,1980,Handbook of Cross-cultural Psychology,Article,CHILD
"Burke, R.J., Astakhova, M.N., Hang, H.","Work Passion Through the Lens of Culture: Harmonious Work Passion, Obsessive Work Passion, and Work Outcomes in Russia and China",2015,Journal of Business and Psychology,Article,CHILD
"Carrell, M.R., Dittrich, J.E.","Equity theory: The recent literature, methodological considerations, and new directions",1978,Academy of Management Review,Article,CHILD
"Cheung, G.W., Rensvold, R.B.",Evaluating goodness-of-fit indexes for testing measurement invariance,2002,Structural Equation Modeling,Article,CHILD
"Colquitt, J.A., Scott, B.A., Judge, T.A., Shaw, J.C.",Justice and personality: Using integrative theories to derive moderators of justice effects,2006,Organizational Behavior and Human Decision Processes,Article,CHILD
"Dalal, R.S.",A meta-analysis of the relationship between organizational citizenship behavior and counterproductive work behavior,2005,Journal of Applied Psychology,Review,CHILD
