Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Nan N., Tanriverdi H.",Unifying the role of it in hyperturbulence and competitive advantage via a multilevel perspective of is strategy,2017,MIS Quarterly: Management Information Systems,Review,PARENT
"Agarwal R., Tiwana A.",Evolvable systems: Through the looking glass of IS,2015,Information Systems Research,Editorial,CHILD
"Albert D., Kreutzer M., Lechner C.",Resolving the paradox of interdependency and strategic renewal in activity systems,2015,Academy of Management Review,Article,CHILD
Allen P.M.,What is complexity science? Knowledge of the limits to knowledge,2001,Emergence,,CHILD
"Allen P.M., Varga L., Strathern M., Anderson C.R., Baldwin J., Ridgway K.","Complexity, evolution and organizational science",2009,Working Paper,,CHILD
Anderson P.,Complexity Theory and Organization Science,1999,Organization Science,Review,CHILD
Arthur W.B.,Complexity economics: A different framework for economic thought,2013,Complexity Economics: A Different Framework for Economic Thought,,CHILD
Bacharach S.B.,Organizational theories: Some criteria for evaluation,1989,Academy of Management Review,,CHILD
"Baregheh A., Rowley J., Sambrook S.",Towards a multidisciplinary definition of innovation,2009,Management Decision,Article,CHILD
"Benbasat I., Nault B.R.",An evaluation of empirical research in managerial support systems,1990,Decision Support Systems,Article,CHILD
"Benbya H., McKelvey B.",Using coevolutionary and complexity theories to improve IS alignment: A multi-level approach,2006,Journal of Information Technology,Article,CHILD
Bharadwaj A.S.,A resource-based perspective on information technology capability and firm performance: An empirical investigation,2000,MIS Quarterly: Management Information Systems,Article,CHILD
"Bharadwaj A., El Sawy O.A., Pavlou P.A., Venkatraman N.",Digital business strategy: Toward a next generation of insights,2013,MIS Quarterly: Management Information Systems,Article,CHILD
"Esade M., McKelvey B.",Integrating modernist and postmodernist perspectives on organizations: A complexity science bridge,2010,Academy of Management Review,Review,CHILD
"Boland Jr. R.J., Lyytinen K., Yoo Y.","Wakes of innovation in project networks: The case of digital 3-D representations in architecture, engineering, and construction",2007,Organization Science,Article,CHILD
"Brynjolfsson E., Saunders A.",Wired for Innovation: How Information Technology Is Reshaping the Economy,2010,Wired for Innovation: How Information Technology Is Reshaping the Economy,,CHILD
"Cavusoglu H., Raghunathan S., Cavusoglu H.",Configuration of and interaction between information security technologies: The case of firewalls and intrusion detection systems,2009,Information Systems Research,Article,CHILD
"Chan Y.E., Huff S.L., Barclay D.W., Copeland D.G.","Business Strategic Orientation, Information Systems Strategic Orientation, and Strategic Alignment",1997,Information Systems Research,Article,CHILD
"Chan Y.E., Sabherwal R., Thatcher J.B.",Antecedents and outcomes of strategic IS alignment: An empirical investigation,2006,IEEE Transactions on Engineering Management,Article,CHILD
"Chen D.Q., Mocker M., Preston D.S., Teubner A.","Information systems strategy: Reconceptualization, measurement, and implications",2010,MIS Quarterly: Management Information Systems,Article,CHILD
"Cohen W.M., Levinthal D.A.",Absorptive capacity: A new perspective on learning and innovation,1990,Administrative Science Quarterly,,CHILD
"Davis J.P., Eisenhardt K.M., Bingham C.B.",Developing theory through simulation methods,2007,Academy of Management Review,Article,CHILD
"Eaton B., Elaluf-Calderwood S., Sørensen C., Yoo Y.",Distributed tuning of boundary resources: The case of Apple's iOS service system,2015,MIS Quarterly: Management Information Systems,Article,CHILD
"El Sawy O.A., Malhotra A., Park Y., Pavlou P.A.",Seeking the configurations of digital ecodynamics: It takes three to tango,2010,Information Systems Research,Article,CHILD
"El Sawy O.A., Pavlou P.A.",IT-enabled business capabilities for turbulent environments,2008,MIS Quarterly Executive,,CHILD
"Ethiraj S.K., Levinthal D.",Modularity and Innovation in Complex Systems,2004,Management Science,Review,CHILD
"D'Aveni R.A., Dagnino G.B., Smith K.G.",The age of temporary advantage,2010,Strategic Management Journal,Article,CHILD
"Garud R., Karnoe P.",Path creation as a process of mindful deviation,2001,Path Dependence and Creation,,CHILD
Gell-Mann M.,What is complexity?,2002,Contributions to Economics,Article,CHILD
"Grewal R., Tansuhaj P.",Building organizational capabilities for managing economic crisis: The role of market orientation and strategic flexibility,2001,Journal of Marketing,Article,CHILD
"Henderson R.M., Clark K.B.",Architectural innovation: The reconfiguration of existing product technologies and the failure of established firms,1990,Administrative Science Quarterly,,CHILD
"Im G., Rai A.",Knowledge sharing ambidexterity in long-term interorganizational relationships,2008,Management Science,Article,CHILD
"Keen P., Williams R.",Value architectures for digital business: Beyond the business model,2013,MIS Quarterly: Management Information Systems,Note,CHILD
"Kirschner M., Gerhart J.",Evolvability,1998,Proceedings of the National Academy of Sciences of the United States of America,Article,CHILD
Levinthal D.A.,Adaptation on rugged landscapes,1997,Management Science,Article,CHILD
"Lin M., Lucas H.C., Shmueli G.",Too big to fail: Large samples and the p-value problem,2013,Information Systems Research,Article,CHILD
"McAfee A., Brynjolfsson E.",Investing in the IT that makes a competitive difference,2008,Harvard Business Review,Article,CHILD
"McFarlan F.W., McKenney J.L., Pyburn P.",The information archipelago--plotting a course.,1983,Harvard Business Review,Article,CHILD
McKelvey B.,Avoiding Complexity Catastrophe in Coevolutionary Pockets: Strategies for Rugged Landscapes,1999,Organization Science,Article,CHILD
"Mendelson H., Pillai R.R.",Clockspeed and Informational Response: Evidence from the Information Technology Industry,1998,Information Systems Research,Article,CHILD
"Miller J.H., Page S.E.",Complex adaptive systems: An introduction to computational models of social life,2009,Complex Adaptive Systems: An Introduction to Computational Models of Social Life,Book,CHILD
"Milgrom P., Roberts J.","Complementarities and fit strategy, structure, and organizational change in manufacturing",1995,Journal of Accounting and Economics,Article,CHILD
Nan N.,Capturing bottom-up information technology use processes: A complex adaptive systems model,2011,MIS Quarterly: Management Information Systems,Review,CHILD
"Nevo S., Wade M.R.",The formation and value of it-enabled resources: Antecedents and consequences of synergistic relationships,2010,MIS Quarterly: Management Information Systems,Review,CHILD
"Oh W., Pinsonneault A.",On the assessment of the strategic value of information technologies: Conceptual and analytical approaches,2007,MIS Quarterly: Management Information Systems,Article,CHILD
"Orlikowski W.J., Iacono C.S.","Research Commentary: Desperately Seeking the ""IT"" in IT Research - A Call to Theorizing the IT Artifact",2001,Information Systems Research,Article,CHILD
"Overby E., Bharadwaj A., Sambamurthy V.",Enterprise agility and the enabling role of information technology,2006,European Journal of Information Systems,Article,CHILD
"Pant G., Sheng O.R.L.",Web footprints of firms: Using online isomorphism for competitor identification,2015,Information Systems Research,Article,CHILD
"Pavlou P.A., El Sawy O.A.",From IT leveraging competence to competitive advantage in turbulent environments: The case of new product development,2006,Information Systems Research,Article,CHILD
"Porter M., Siggelkow N.",Contextuality within activity systems and sustainability of competitive advantage,2008,Academy of Management Perspectives,Review,CHILD
"Rivkin J.W., Siggelkow N.",Patterned interactions in complex systems: Implications for exploration,2007,Management Science,Article,CHILD
"Sabherwal R., Hirschheim R., Goles T.",The Dynamics of Alignment: Insights from a Punctuated Equilibrium Model,2001,Organization Science,Article,CHILD
"Sambamurthy V., Bharadwaj A., Grover V.",Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,2003,MIS Quarterly: Management Information Systems,Article,CHILD
Simon H.A.,The science of design: Creating the artificial,1996,The Sciences of the Artificial,,CHILD
"Tai L.A., Phelps R.",CEO and CIO perceptions of information systems strategy: Evidence from hong kong,2000,European Journal of Information Systems,Article,CHILD
"Tanriverdi H., Rai A., Venkatraman N.",Reframing the dominant quests of information systems strategy research for complex adaptive business systems,2010,Information Systems Research,Review,CHILD
Tiwana A.,Does technological modularity substitute for control? A study of alliance performance in software outsourcing,2008,Strategic Management Journal,Article,CHILD
"Tiwana A., Konsynski B., Bush A.A.","Platform evolution: Coevolution of platform architecture, governance, and environmental dynamics",2010,Information Systems Research,Article,CHILD
"Van Oosterhout M., Waarts E., Van Hillegersberg J.",Change factors requiring agility and implications for IT,2006,European Journal of Information Systems,Article,CHILD
"Vessey I., Ward K.",The dynamics of sustainable is alignment: The case for IS adaptivity,2013,Journal of the Association for Information Systems,Article,CHILD
"Wade M., Hulland J.","Review: The resource-based view and information systems research: Review, extension, and suggestions for future research",2004,MIS Quarterly: Management Information Systems,Review,CHILD
"Wiggins R.R., Ruefli T.W.",Sustained competitive advantage: Temporal dynamics and the incidence and persistence of superior economic performance,2002,Organization Science,Review,CHILD
"Yoo Y., Henfridsson O., Lyytinen K.",The new organizing logic of digital innovation: An agenda for information systems research,2010,Information Systems Research,Article,CHILD
"Eric Zheng Z., Fader P., Padmanabhan B.",From business intelligence to competitive intelligence: Inferring competitive measures using augmented site-centric data,2012,Information Systems Research,Article,CHILD
Zittrain J.L.,The generative Internet,2006,Harvard Law Review,Review,CHILD
Reference Count: 64,,,,,
,,,,,
Chanias S.,Mastering digital transformation: The path of a financial services provider towards a digital transformation strategy,2017,"Proceedings of the 25th European Conference on Information Systems, ECIS 2017",Conference Paper,PARENT
"Agarwal R., Johnson S.L., Lucas H.C.",Leadership in the face of technological discontinuities: The transformation of earthcolor,2011,Communications of the Association for Information Systems,,CHILD
"Auer T., Reponen T.",Information Systems Strategy Formation Embedded into a Continuous Organizational Learning Process,1997,Information Resources Management Journal (IRMJ),Article,CHILD
"Benbasat I., Goldstein D.K., Mead M.",The case research strategy in studies of information systems,1987,MIS Quarterly: Management Information Systems,Article,CHILD
"Besson P., Rowe F.",Strategizing information systems-enabled organizational transformation: A transdisciplinary review and new directions,2012,Journal of Strategic Information Systems,Article,CHILD
"Bharadwaj A., El Sawy O.A., Pavlou P.A., Venkatraman N.",Digital business strategy: Toward a next generation of insights,2013,MIS Quarterly: Management Information Systems,Article,CHILD
"Chanias S., Hess T.",Understanding digital transformation strategy formation: Insights from Europe's automotive industry,2016,"Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings",Conference Paper,CHILD
"Chen D.Q., Mocker M., Preston D.S., Teubner A.","Information systems strategy: Reconceptualization, measurement, and implications",2010,MIS Quarterly: Management Information Systems,Article,CHILD
"Dubé L., Paré G.","Rigor in information systems positivist case research: Current practices, trends, and recommendations",2003,MIS Quarterly: Management Information Systems,Article,CHILD
