Authors,Title,Year,Source title,Link,Document Type,Source
"Yin R.K.",[No title available],1994,"Case Study Research: Design and Methods",,,Scopus
"Hair J.F., Anderson R.E., Tatham R.L., Black W.C.",[No title available],1995,"Multivariate Data Analysis",,,Scopus
"Nunnally J.C.",[No title available],1978,"Psychometric Theory",,,Scopus
"Strauss A., Corbin J.",[No title available],1998,"Basics of Qualitative Research: Techniques and Procedures for Developing Grounded Theory",,,Scopus
"Glaser B.G., Strauss A.L.",[No title available],1967,"The Discovery of Grounded Theory: Strategies for Qualitative Research",,,Scopus
"Baron R.M., Kenny D.A.","The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations",1986,"Journal of Personality and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023020183&doi=10.1037%2f0022-3514.51.6.1173&partnerID=40&md5=f7a213e1cb3840999e3c803ebed94263",Article,Scopus
"Fornell C., Larcker D.F.","Evaluating structural equation models with unobservable variables and measurement error",1981,"Journal of Marketing Research",,,Scopus
"Rogers E.M.",[No title available],1995,"Diffusion of Innovations",,,Scopus
"Holland J.H.",[No title available],1975,"Adaptation in Natural and Artificial Systems",,,Scopus
"Podsakoff P.M., MacKenzie S.B., Lee J.-Y., Podsakoff N.P.","Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies",2003,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141907688&doi=10.1037%2f0021-9010.88.5.879&partnerID=40&md5=b94b2abc9bf1d6dbdafe9184dcf66441",Review,Scopus
"Greene W.H.",[No title available],1993,"Econometric Analysis",,,Scopus
"Cohen J., Cohen P.",[No title available],1983,"Applied Multiple Regression/Correlation Analysis for the Behavioral Sciences",,,Scopus
"Schön D.A.","The reflective practitioner: How professionals think in action",1983,"The Reflective Practitioner: How Professionals Think in Action",,,Scopus
"Creswell J.W.",[No title available],2003,"Research Design: Qualitative, Quantitative, and Mixed Methods Approaches",,,Scopus
"Barney J.","Firm Resources and Sustained Competitive Advantage",1991,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896930624&doi=10.1177%2f014920639101700108&partnerID=40&md5=ad9be229af0563c55c4fb54a2eff01f5",Article,Scopus
"Jensen M.C., Meckling W.H.","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,"Journal of Financial Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649197264&doi=10.1016%2f0304-405X%2876%2990026-X&partnerID=40&md5=624ec43a6705d2ba23a641da56abc8a6",Article,Scopus
"Feller W.",[No title available],1971,"An Introduction to Probability Theory and Its Applications",,,Scopus
"Charmaz K.",[No title available],2006,"Constructing Grounded Theory: A Practical Guide Through Qualitative Analysis",,,Scopus
"Wooldridge J.M.",[No title available],2002,"Econometric Analysis of Cross Section and Panel Data",,,Scopus
"Wasserman S., Faust K.",[No title available],1994,"Social Network Analysis: Methods and Applications",,,Scopus
"Nelson R.R., Winter S.G.",[No title available],1982,"An Evolutionary Theory of Economic Change",,,Scopus
"Schumpeter J.A.",[No title available],1934,"The Theory of Economic Development",,,Scopus
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542382496&doi=10.2307%2f30036540&partnerID=40&md5=0145eeee9ddb1678e81b29817475e16c",Article,Scopus
"Cohen W.M., Levinthal D.A.","Absorptive capacity: A new perspective on learning and innovation",1990,"Administrative Science Quarterly",,,Scopus
"Schumpeter J.A.",[No title available],1942,"Capitalism, Socialism and Democracy",,,Scopus
"Granovetter M.","Economic action and social structure: The problem of embeddedness",1985,"American Journal of Sociology",,,Scopus
"Teece D.J., Pisano G., Shuen A.","Dynamic capabilities and strategic management",1997,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0342775775&doi=10.1002%2f%28SICI%291097-0266%28199708%2918%3a7%3c509%3a%3aAID-SMJ882%3e3.0.CO%3b2-Z&partnerID=40&md5=f0f0ecabb48fd21f159bcc245759ded2",Article,Scopus
"Castells M.",[No title available],1996,"The Rise of the Network Society",,,Scopus
"Albert R., Barabási A.-L.","Statistical mechanics of complex networks",2002,"Reviews of Modern Physics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036013593&doi=10.1103%2fRevModPhys.74.47&partnerID=40&md5=7849e23292c3d114c7641cbe602dba40",Article,Scopus
"Gamma E., Helm R., Johnson R., Vlissides J.",[No title available],1995,"Design Patterns: Elements of Reusable Object-Oriented Software",,,Scopus
"Heckman J.J.","Sample selection bias as a specification error",1979,"Econometrica",,,Scopus
"Saldana J.","The coding manual for qualitative researchers",2009,"The Coding Manual for Qualitative Researchers",,,Scopus
"Porter M.E.",[No title available],1985,"Competitive Advantage: Creating and Sustaining Superior Performance",,,Scopus
"Williamson O.E.",[No title available],1975,"Markets and Hierarchies: Analysis and Antitrust Implications",,,Scopus
"Schein E.H.",[No title available],1985,"Organizational Culture and Leadership",,,Scopus
"Popper K.R.",[No title available],1959,"The Logic of Scientific Discovery",,,Scopus
"Wernerfelt B.","A resource‐based view of the firm",1984,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989133012&doi=10.1002%2fsmj.4250050207&partnerID=40&md5=48dd0c77f4bbb0a1268dd284161aefb7",Article,Scopus
"Coase R.H.","The Nature of the Firm",1937,"Economica","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979188687&doi=10.1111%2fj.1468-0335.1937.tb00002.x&partnerID=40&md5=7b460c24145494399415c5e678353734",Article,Scopus
"Penrose E.",[No title available],1959,"The Theory of the Growth of the Firm",,,Scopus
"Porter M.E.",[No title available],1980,"Competitive Strategy",,,Scopus
"March J.G.","Exploration and exploitation in organizational learning",1991,"Organization Science",,,Scopus
"Armstrong J.S., Overton T.S.","Estimating nonresponse bias in mail surveys",1977,"Journal of Marketing Research",,,Scopus
"Chin W.W.","The partial least squares approach to structural equation modeling",1998,"Modern Methods for Business Research",,,Scopus
"Podsakoff P.M., Organ D.W.","Self-Reports in Organizational Research: Problems and Prospects",1986,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970235764&doi=10.1177%2f014920638601200408&partnerID=40&md5=6461ea40742d6b42fa1de62430d00ddb",Article,Scopus
"Thompson J.D.",[No title available],1967,"Organizations in Action: Social Science Bases of Administrative Theory",,,Scopus
"Nonaka I.","A dynamic theory of organizational knowledge creation",1994,"Organization Science",,,Scopus
"Burt R.S.",[No title available],1992,"Structural Holes: The Social Structure of Competition",,,Scopus
"Dillman D.A.",[No title available],2000,"Mail and Internet Surveys: The Tailored Design Method",,,Scopus
"Churchill G.A.","A paradigm for developing better measures of marketing constructs",1979,"Journal of Marketing Research",,,Scopus
"Sobel M.E.","Asymptotic confidence intervals for indirect effects in structural equation models",1982,"Sociological Methodology",,,Scopus
"Grant R.M.","Toward a knowledge-based theory of the firm",1996,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942649403&doi=10.1002%2fsmj.4250171110&partnerID=40&md5=1fc9f3b5316656621fcce04dae1bd589",Article,Scopus
"Chesbrough H.",[No title available],2003,"Open Innovation: The New Imperative for Creating and Profiting from Technology",,,Scopus
"Eisenhardt K.M., Graebner M.E.","Theory building from cases: Opportunities and challenges",2007,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047207566&doi=10.5465%2fAMJ.2007.24160888&partnerID=40&md5=4aa8493e96afccf9db60080af535710e",Article,Scopus
"Maddala G.S.",[No title available],1983,"Limited-Dependent and Qualitative Variables in Econometrics",,,Scopus
"Hevner A.R., March S.T., Park J., Ram S.","Design science in information systems research",2004,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242652022&doi=10.2307%2f25148625&partnerID=40&md5=fb1dde6271e2c2d4d646405dcddea0d1",Article,Scopus
"Eisenhardt K.M., Martin J.A.","Dynamic capabilities: What are they?",2000,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000877903&doi=10.1002%2f1097-0266%28200010%2f11%2921%3a10%2f11%3c1105%3a%3aAID-SMJ133%3e3.0.CO%3b2-E&partnerID=40&md5=b6cf547bfcd95f6b2ac31570f93e62f3",Article,Scopus
"Fudenberg D., Tirole J.",[No title available],1991,"Game Theory",,,Scopus
"Harman H.H.",[No title available],1976,"Modern Factor Analysis",,,Scopus
"Kaplan R.S., Norton D.P.","The balanced scorecard--measures that drive performance.",1992,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026494564&partnerID=40&md5=0eb367a57bc0f2e41d4571d425b2b36c",Article,Scopus
"Silverman D.",[No title available],1993,"Interpreting Qualitative Data: Methods for Analysing Talk, Text and Interaction",,,Scopus
"Mell P., Grance T.",[No title available],2009,"The NIST Definition of Cloud Computing",,,Scopus
"Kogut B., Zander U.","Knowledge of the firm, combinative capabilities, and the replication of technology",1992,"Organization Science",,,Scopus
"Porter M.E.",[No title available],1980,"Competitive Strategy: Techniques for Analyzing Industries and Competitors",,,Scopus
"Armbrust M., Fox A., Griffith R., Joseph A.D., Katz R., Konwinski A., Lee G., Patterson D., Rabkin A., Stoica I., Zaharia M.","A view of cloud computing",2010,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950347409&doi=10.1145%2f1721654.1721672&partnerID=40&md5=6164f58679f057d5164d1f8f31d3f125",Review,Scopus
"Shane S., Venkataraman S.","The promise of entrepreneurship as a field of research",2000,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034341743&doi=10.5465%2fAMR.2000.2791611&partnerID=40&md5=595eb11c0f2795c8bd714d2f114c9bf0",Article,Scopus
"Dixit A.K., Pindyck R.S.","Investment under uncertainty",2012,"Investment under Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891010016&partnerID=40&md5=3f59d244e4be90c32e73c79036dc3218",Book,Scopus
"Burns T., Stalker G.M.",[No title available],1961,"The Management of Innovation",,,Scopus
"DeLone W.H., McLean E.R.","The DeLone and McLean model of information systems success: A ten-year update",2003,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037368865&doi=10.1080%2f07421222.2003.11045748&partnerID=40&md5=3c08f96c96a1b5d5be9cb589ea4ac464",Conference Paper,Scopus
"DeLone W.H., McLean E.R.","Information systems success: The quest for the dependent variable",1992,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249114849&doi=10.1287%2fisre.3.1.60&partnerID=40&md5=648fb88a25e8c62b24d9e517028c9b5b",Article,Scopus
"Kauffman S.A.",[No title available],1993,"The Origins of Order: Self-Organization and Selection in Evolution",,,Scopus
"Alavi M., Leidner D.E.","Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744248703&doi=10.2307%2f3250961&partnerID=40&md5=ec1d3a291d7329ac1ccc48c58fb28952",Article,Scopus
"Albert R., Jeong H., Barabási A.-L.","Error and attack tolerance of complex networks",2000,"Nature","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034721164&doi=10.1038%2f35019019&partnerID=40&md5=547ac14cb5d64895133ec6e58abe9ee1",Article,Scopus
"Eisenhardt K.M.","Agency theory: An assessment and review",1989,"Academy of Management Review",,,Scopus
"Tirole J.",[No title available],1988,"The Theory of Industrial Organization",,,Scopus
"Wright S.","Evolution in Mendelian populations",1931,"Genetics",,,Scopus
"Zahra S.A., George G.","Absorptive capacity: A review, reconceptualization, and extension",2002,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036011963&doi=10.5465%2fAMR.2002.6587995&partnerID=40&md5=6931689a224f2ee221af2f3bfd9a3e53",Review,Scopus
"Barnard C.I.",[No title available],1938,"The Functions of the Executive",,,Scopus
"Teece D.J.","Profiting from technological innovation: Implications for integration, collaboration, licensing and public policy",1986,"Research Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549086633&doi=10.1016%2f0048-7333%2886%2990027-2&partnerID=40&md5=6b6b21beec0ddfb1c07c83ee716d5975",Article,Scopus
"Peteraf M.A.","The cornerstones of competitive advantage: A resource‐based view",1993,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989113324&doi=10.1002%2fsmj.4250140303&partnerID=40&md5=283e254be544798927bc68e5c3ae1917",Article,Scopus
"Schumacker R.E., Lomax R.G.",[No title available],1996,"A Beginner's Guide to Structural Equation Modeling",,,Scopus
"Alchian A.A., Demsetz H.","Production, information costs, and economic organization",1972,"American Economic Review",,,Scopus
"Chandler A.D.",[No title available],1962,"Strategy and Structure: Chapters in the History of the American Industrial Enterprise",,,Scopus
"Janis I.L.",[No title available],1982,"Groupthink: Psychological Studies of Policy Decisions and Fiascoes",,,Scopus
