Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Chen C.-P., Lai H.-M., Ho C.-Y.",Why do teachers continue to use teaching blogs? the roles of perceived voluntariness and habit,2015,Computers and Education,Article,PARENT
"Agarwal R., Prasad J.",The role of innovation characteristics and perceived voluntariness in the acceptance of information technologies,1997,Decision Sciences,Article,CHILD
"Agudo-Peregrina Á.F., Hernández-García Á., Pascual-Miguel F.J.","Behavioral intention, use behavior and the acceptance of electronic learning systems: Differences between higher education and lifelong learning",2014,Computers in Human Behavior,Article,CHILD
"Armstrong J.S., Overton T.S.",Estimating nonresponse bias in mail surveys,1977,Journal of Marketing Research,,CHILD
"Baron R.M., Kenny D.A.","The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations",1986,Journal of Personality and Social Psychology,Article,CHILD
Bhattacherjee A.,An empirical analysis of the antecedents of electronic commerce service continuance,2001,Decision Support Systems,Article,CHILD
Bhattacherjee A.,Understanding information systems continuance: An expectation-confirmation model,2001,MIS Quarterly: Management Information Systems,Article,CHILD
"Chai S., Das S., Rao H.",Factors affecting bloggers' knowledge sharing: An investigation across gender,2011,Journal of Management Information Systems,Article,CHILD
"Cheng B., Wang M., Yang S.J.H., Kinshuk, Peng J.",Acceptance of competency-based workplace e-learning systems: Effects of individual and peer learning support,2011,Computers and Education,Article,CHILD
Chin W.W.,The partial least squares approach to structural equation modeling,1998,Modern Methods for Business Research,,CHILD
"Chiu C.-M., Wang E.T.G.",Understanding Web-based learning continuance intention: The role of subjective task value,2008,Information and Management,Article,CHILD
"Chou S.-W., Chen P.-Y.",The influence of individual differences on continuance intentions of enterprise resource planning (ERP),2009,International Journal of Human Computer Studies,Article,CHILD
Davis F.D.,"Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,MIS Quarterly: Management Information Systems,Article,CHILD
"Devaraj S., Kohli R.",Performance impacts of information technology: Is actual usage the missing link?,2003,Management Science,Article,CHILD
"Fornell C., Larcker D.F.",Evaluating structural equation models with unobservable variables and measurement error,1981,Journal of Marketing Research,,CHILD
"Gefen D., Straub D.",A practical guide to factorial validity using PLS-graph: Tutorial and annotated example,2005,Communications of the Association for Information Systems,,CHILD
"Gong H., Yan S.",Study on supportive technologies to construct rural digital learning platform,2008,"Proceedings - 2008 2nd International Symposium on Intelligent Information Technology Application, IITA 2008",Conference Paper,CHILD
"Hartwick J., Barki H.",Explaining the role of user participation in information system use,1994,Management Science,Article,CHILD
"Hayashi A., Chen C., Ryan T., Wu J.",The role of social presence and moderating role of computer self efficacy in predicting the continuance usage of e-learning systems,2004,Journal of Information Systems Education,,CHILD
"He W., Wei K.-K.",What drives continued knowledge sharing? An investigation of knowledge-contribution and -seeking beliefs,2009,Decision Support Systems,Article,CHILD
"Horton R.P., Buck T., Waterson P.E., Clegg C.W.",Explaining intranet use with the technology acceptance model,2001,Journal of Information Technology,Article,CHILD
"Hung M.-C., Chang I.-C., Hwang H.-G.",Exploring academic teachers' continuance toward the web-based learning system: The role of causal attributions,2011,Computers and Education,Article,CHILD
"Kang Y.S., Hong S., Lee H.",Exploring continued online service usage behavior: The roles of self-image congruity and regret,2009,Computers in Human Behavior,Article,CHILD
"Karaali D., Gumussoy C.A., Calisir F.",Factors affecting the intention to use a web-based learning system among blue-collar workers in the automotive industry,2011,Computers in Human Behavior,Article,CHILD
Kim H.N.,The phenomenon of blogs and theoretical model of blog use in educational contexts,2008,Computers and Education,Article,CHILD
"Lai H.-M., Chen C.-P.",Factors influencing secondary school teachers' adoption of teaching blogs,2011,Computers and Education,Article,CHILD
"Landis D., Triandis H.C., Adamopoulos J.",Habit and behavioral intentions as predictors of social behavior,1978,Journal of Social Psychology,,CHILD
Lee M.-C.,Explaining and predicting users' continuance intention toward e-learning: An extension of the expectation-confirmation model,2010,Computers and Education,Article,CHILD
"Lee Y., Kwon O.","Intimacy, familiarity and continuance intention: An extended expectation-confirmation model in web-based services",2011,Electronic Commerce Research and Applications,Article,CHILD
"Lee B.-C., Yoon J.-O., Lee I.",Learners' acceptance of e-learning in South Korea: Theories and results,2009,Computers and Education,Article,CHILD
"Limayem M., Cheung C.M.K.",Understanding information systems continuance: The case of Internet-based learning technologies,2008,Information and Management,Article,CHILD
"Limayem M., Cheung C.M.K.",Predicting the continued use of Internet-based learning technologies: The role of habit,2011,Behaviour and Information Technology,Article,CHILD
"Limayem M., Hirt S.G., Cheung C.M.K.",How habit limits the predictive power of intention: The case of information systems continuance,2007,MIS Quarterly: Management Information Systems,Article,CHILD
Lin K.-M.,E-Learning continuance intention: Moderating effects of user e-learning experience,2011,Computers and Education,Article,CHILD
Lin W.-S.,Perceived fit and satisfaction on web learning performance: IS continuance intention and task-technology fit perspectives,2012,International Journal of Human Computer Studies,Article,CHILD
"Lin W.-S., Wang C.-H.",Antecedences to continued intentions of adopting e-learning system in blended learning instruction: A contingency framework based on models of information system success and task-technology fit,2012,Computers and Education,Article,CHILD
"Lin T.-C., Wu S., Hsu J.S.-C., Chou Y.-C.",The integration of value-based adoption and expectation-confirmation models: An example of IPTV continuance intention,2012,Decision Support Systems,Article,CHILD
"Lin C.S., Wu S., Tsai R.J.",Integrating perceived playfulness into expectation-confirmation model for web portal context,2005,Information and Management,Article,CHILD
"Motaghian H., Hassanzadeh A., Moghadam D.K.",Factors affecting university instructors' adoption of web-based learning systems: Case study of Iran,2013,Computers and Education,Article,CHILD
Oliver R.L.,A cognitive model of the antecedents and consequences of satisfaction decisions,1980,Journal of Marketing Research,,CHILD
"Pynoo B., Van Braak J.","Predicting teachers' generative and receptive use of an educational portal by intention, attitude and self-reported use",2014,Computers in Human Behavior,Article,CHILD
"Pynoo B., Devolder P., Tondeur J., Van Braak J., Duyck W., Duyck P.",Predicting secondary school teachers' acceptance and use of a digital learning environment: A cross-sectional study,2011,Computers in Human Behavior,Article,CHILD
"Roca J.C., Chiu C.-M., Martínez F.J.",Understanding e-learning continuance intention: An extension of the Technology Acceptance Model,2006,International Journal of Human Computer Studies,Article,CHILD
"Sánchez-Franco M.J., Roldán J.L.",Web acceptance and usage model: A comparison between goal-directed and experiential web users,2005,Internet Research,Article,CHILD
Sheeran P.,Intention—Behavior Relations: A Conceptual and Empirical Review,2002,European Review of Social Psychology,Article,CHILD
"Shin D.-H., Shin Y.-J., Choo H., Beom K.",Smartphones as smart pedagogical tools: Implications for smartphones as u-learning devices,2011,Computers in Human Behavior,Article,CHILD
"Sørebø Ø., Eikebrokk T.R.",Explaining IS continuance in environments where usage is mandatory,2008,Computers in Human Behavior,Article,CHILD
"Sørebø Ø., Halvari H., Gulli V.F., Kristiansen R.",The role of self-determination theory in explaining teachers' motivation to continue to use e-learning technology,2009,Computers and Education,Article,CHILD
"Spreng R.A., MacKenzie S.B., Olshavsky R.W.",A reexamination of the determinants of consumer satisfaction,1996,Journal of Marketing,Article,CHILD
"Teo T.S.H., Lim V.K.G., Lai R.Y.C.",Intrinsic and extrinsic motivation in Internet usage,1999,Omega,Article,CHILD
Triandis H.C.,"Values, attitudes, and interpersonal behavior.",1980,Nebraska Symposium on Motivation. Nebraska Symposium on Motivation,Article,CHILD
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.",User acceptance of information technology: Toward a unified view,2003,MIS Quarterly: Management Information Systems,Article,CHILD
"Wu J., Du H.",Toward a better understanding of behavioral intention and system usage constructs,2012,European Journal of Information Systems,Article,CHILD
"Wu M.-C., Kuo F.-Y.",An Empirical Investigation of Habitual Usage and Past Usage on Technology Acceptance Evaluations and Continuance Intention,2008,Data Base for Advances in Information Systems,Article,CHILD
"Zhang Y., Fang Y., Wei K.-K., Wang Z.",Promoting the intention of students to continue their participation in e-learning systems: The role of the communication environment,2012,Information Technology & People,Article,CHILD
"Žvanut B., Pucer P., Ličen S., Trobec I., Plazar N., Vavpotič D.",The effect of voluntariness on the acceptance of e-learning by nursing students,2011,Nurse Education Today,Article,CHILD
Reference Count: 55,,,,,
,,,,,
"Aguirre-Urreta M.I., Marakas G.M.",Exploring choice as an antecedent to behavior: Incorporating alternatives into the technology acceptance process,2012,Journal of Organizational and End User Computing,Article,PARENT
Ajzen I.,The theory of planned behavior,1991,Organizational Behavior and Human Decision Processes,Article,CHILD
"Ajzen I., Fishbein M.",The prediction of behavioral intentions in a choice situation,1969,Journal of Experimental Social Psychology,Article,CHILD
"Ajzen I., Timko C.",Correspondence Between Health Attitudes and Behavior,1986,Basic and Applied Social Psychology,Article,CHILD
"Albert D., Aschenbrenner K.M., Schmalhofer F.",Cognitive choice processes and the attitude-behavior relation,1989,Attitudes and Behavioral Decisions,,CHILD
Anderson E.E.,Choice models for the evaluation and selection of software packages,1989,Journal of Management Information Systems,Article,CHILD
Bagozzi R.P.,The legacy of the technology acceptance model and a proposal for a paradigm shift,2007,Journal of the Association for Information Systems,Article,CHILD
"Bagozzi R., Van Loo M.",Motivational and reasoned processes in the theory of consumer choice,1991,Handbook of Behavioral Economics,,CHILD
"Ballantine J.A., Galliers R.D., Stray S.J.",Information systems/technology evaluation practices: Evidence from UK organizations,1996,Journal of Information Technology,Article,CHILD
"Bass F.M., Talarzyk W.W.",An attitude model for the study of brand preference,1972,Journal of Marketing Research,,CHILD
"Benbasat I., Barki H.","Quo vadis, TAM?",2007,Journal of the Association for Information Systems,Article,CHILD
"Cacioppo J.T., Berntson G.G.","Relationship Between Attitudes and Evaluative Space: A Critical Review, With Emphasis on the Separability of Positive and Negative Substrates",1994,Psychological Bulletin,Article,CHILD
"Candel M.J.J.M., Pennings J.M.E.",Attitude-based models for binary choices: A test for choices involving an innovation,1999,Journal of Economic Psychology,Article,CHILD
Cenfetelli R.T.,Inhibitors and enablers as dual factor concepts in technology usage,2004,Journal of the Association for Information Systems,,CHILD
"Chung H.M., Silver M.S.",Rule‐Based Expert Systems and Linear Models: An Empirical Comparison of Learning‐By‐Examples Methods,1992,Decision Sciences,Article,CHILD
Dabholkar P.A.,Incorporating choice into an attitudinal framework: Analyzing models of mental comparison processes,1994,Journal of Consumer Research,,CHILD
Davis F.D.,"Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,MIS Quarterly: Management Information Systems,Article,CHILD
"Davis F.D., Bagozzi R.P., Warshaw P.R.",User acceptance of computer technology: A comparison of two theoretical models,1989,Management Science,,CHILD
"Davis F.D., Bagozzi R.P., Warshaw P.R.",Extrinsic and Intrinsic Motivation to Use Computers in the Workplace,1992,Journal of Applied Social Psychology,Article,CHILD
"Davis F.D., Warshaw P.R.",Choice sets and choice intentions,1991,Journal of Social Psychology,Article,CHILD
Edwards J.R.,Ten Difference Score Myths,2001,Organizational Research Methods,Article,CHILD
"Fazio R.H., Williams C.J.",Attitude Accessibility as a Moderator of the Attitude-Perception and Attitude-Behavior Relations. An Investigation of the 1984 Presidential Election,1986,Journal of Personality and Social Psychology,Article,CHILD
"Fishbein M., Ajzen I.",Attitudes and voting behavior: An application of the theory of reasoned action,1981,Progress in Applied Social Psychology,,CHILD
Goodhue D.L.,"Comment on Benbasat and Barki's "" Quo Vadis TAM"" article",2007,Journal of the Association for Information Systems,Note,CHILD
Hoffman P.J.,The paramorphic representation of clinical judgment,1960,Psychological Bulletin,Article,CHILD
"Jaccard J., Blanton H.",The origins and structure of behavior: Conceptualizing behavior in attitude research,2005,The handbook of attitudes,,CHILD
"Lucas Jr. H.C., Swanson E.B., Zmud R.W.","Implementation, innovation, and related themes over the years in information systems research",2007,Journal of the Association for Information Systems,Article,CHILD
Markus M.L.,"Power, Politics, and MIS Implementation",1983,Communications of the ACM,Article,CHILD
Nagelkerke N.J.D.,A note on a general definition of the coefficient of determination,1991,Biometrika,Note,CHILD
"Podsakoff P.M., MacKenzie S.B., Lee J.-Y., Podsakoff N.P.",Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies,2003,Journal of Applied Psychology,Review,CHILD
"Schwarz A., Chin W.",Looking forward: Toward an understanding of the nature and definition of IT acceptance,2007,Journal of the Association for Information Systems,Article,CHILD
Sharma S.,Applied multivariate techniques,1996,Applied Multivariate Techniques,,CHILD
