Authors,Title,Year,Source title,Link,Document Type,Source
"Cohen J.",[No title available],1988,"Statistical Power Analysis for the Behavioral Sciences",,,Scopus
"Yin R.K.",[No title available],1994,"Case Study Research: Design and Methods",,,Scopus
"Hair J.F., Anderson R.E., Tatham R.L., Black W.C.",[No title available],1995,"Multivariate Data Analysis",,,Scopus
"Nunnally J.C.",[No title available],1978,"Psychometric Theory",,,Scopus
"Strauss A., Corbin J.",[No title available],1998,"Basics of Qualitative Research: Techniques and Procedures for Developing Grounded Theory",,,Scopus
"Hu L.-T., Bentler P.M.","Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives",1999,"Structural Equation Modeling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650706330&doi=10.1080%2f10705519909540118&partnerID=40&md5=63d6b094196d629f055fd52b1a6dd02b",Article,Scopus
"Baron R.M., Kenny D.A.","The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations",1986,"Journal of Personality and Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023020183&doi=10.1037%2f0022-3514.51.6.1173&partnerID=40&md5=f7a213e1cb3840999e3c803ebed94263",Article,Scopus
"Tabachnick B.G., Fidell L.S.",[No title available],1996,"Using Multivariate Statistics",,,Scopus
"Miles M.B., Huberman A.M.",[No title available],1994,"Qualitative Data Analysis",,,Scopus
"Fornell C., Larcker D.F.","Evaluating structural equation models with unobservable variables and measurement error",1981,"Journal of Marketing Research",,,Scopus
"Rogers E.M.",[No title available],1995,"Diffusion of Innovations",,,Scopus
"Ajzen I.","The theory of planned behavior",1991,"Organizational Behavior and Human Decision Processes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949274046&doi=10.1016%2f0749-5978%2891%2990020-T&partnerID=40&md5=e27ee5041e0c00279f7c9c3291a3eb1d",Article,Scopus
"Kline R.B.","Principles and practice of structural equation modeling",1998,"Principles and Practice of Structural Equation Modeling",,,Scopus
"Podsakoff P.M., MacKenzie S.B., Lee J.-Y., Podsakoff N.P.","Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies",2003,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141907688&doi=10.1037%2f0021-9010.88.5.879&partnerID=40&md5=b94b2abc9bf1d6dbdafe9184dcf66441",Review,Scopus
"Lincoln Y.S., Guba E.G.","Naturalistic inquiry",1985,"Naturalistic Inquiry",,,Scopus
"Aiken L.S., West S.G.","Multiple regression: Testing and interpreting interactions",1991,"Multiple Regression: Testing and Interpreting Interactions",,,Scopus
"Bandura A.",[No title available],1986,"Social Foundations of Thought and Action: A Social Cognitive Theory",,,Scopus
"Creswell J.W.","Qualitative inquiry and research design: Choosing among five traditions",1998,"Qualitative Inquiry and Research Design: Choosing Among Five Traditions",,,Scopus
"Lave J., Wenger E.",[No title available],1991,"Situated Learning: Legitimate Peripheral Participation",,,Scopus
"Efron B., Tibshirani R.J.",[No title available],1993,"An Introduction to the Bootstrap",,,Scopus
"Davis F.D.","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249087535&doi=10.2307%2f249008&partnerID=40&md5=077d6bd1380e7553fd4c6d49f4f5bcf7",Article,Scopus
"Bandura A.","Self-efficacy: Toward a unifying theory of behavioral change",1977,"Psychological Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017472917&doi=10.1037%2f0033-295X.84.2.191&partnerID=40&md5=3807e18eac0e51aea3a6ec254e6a3738",Article,Scopus
"Fishbein M., Ajzen I.",[No title available],1975,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research",,,Scopus
"Cohen J.","A Coefficient of Agreement for Nominal Scales",1960,"Educational and Psychological Measurement","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973587732&doi=10.1177%2f001316446002000104&partnerID=40&md5=c08a2e401752c42fea459ff2dee4d12f",Article,Scopus
"Anderson J.C., Gerbing D.W.","Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach",1988,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41649112685&doi=10.1037%2f0033-2909.103.3.411&partnerID=40&md5=ee8fb21e8f8dca22dffc04b084384082",Article,Scopus
"Shannon C.E., Weaver W.",[No title available],1949,"The Mathematical Theory of Communication",,,Scopus
"Eisenhardt K.M.","Building theories from case study research",1989,"Academy of Management Review",,,Scopus
"Cronbach L.J.","Coefficient alpha and the internal structure of tests",1951,"Psychometrika","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845945922&doi=10.1007%2fBF02310555&partnerID=40&md5=70c1840d9ab24b100e6d92a537ad117c",Article,Scopus
"Hofstede G.","Culture's consequences: International differences in work-related values",1980,"Culture's Consequences: International Differences in Work-related Values",,,Scopus
"Berger P.L., Luckmann T.",[No title available],1966,"The Social Construction of Reality",,,Scopus
