Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Strandhagen J.O., Vallandingham L.R., Fragapane G., Strandhagen J.W., Stangeland A.B.H., Sharma N.",Logistics 4.0 and emerging sustainable business models,2017,Advances in Manufacturing,Article,PARENT
"Brundtland, G.H.",World commission on environment and development,1985,Environmental Policy and Law,Article,CHILD
"Chopra, S., Meindl, P.","Supply Chain Management. Strategy, Planning and Operation",2002,IIE Transactions,Article,CHILD
"Azapagic, A.",Systems Approach to Corporate Sustainability: A General Management Framework,2003,"Process Safety and Environmental Protection: Transactions of the Institution of Chemical Engineers, Part B",Article,CHILD
"Dey, A., LaGuardia, P., Srinivasan, M.",Building sustainability in logistics operations: A research agenda,2011,Management Research Review,Review,CHILD
"Brown, B.J., Hanson, M.E., Liverman, D.M., Merideth Jr., R.W.",Global sustainability: Toward definition,1987,Environmental Management,Article,CHILD
"Mieg, H.A.",Sustainability and innovation in urban development: Concept and case,2012,Sustainable Development,Article,CHILD
"Hansmann, R., Mieg, H.A., Frischknecht, P.",Principal sustainability components: Empirical analysis of synergies between the three pillars of sustainability,2012,International Journal of Sustainable Development and World Ecology,Article,CHILD
"Carter, C.R., Rogers, D.S.",A framework of sustainable supply chain management: Moving toward new theory,2008,International Journal of Physical Distribution and Logistics Management,Review,CHILD
"Lieb, K.J., Lieb, R.C.",Environmental sustainability in the third-party logistics (3PL); industry,2010,International Journal of Physical Distribution &amp; Logistics Management,Article,CHILD
"Bagheri, A., Hjorth, P.",Planning for sustainable development: A paradigm shift towards a process-based approach,2007,Sustainable Development,Article,CHILD
"Nyhuis, P., Wiendahl, H.-P.","Fundamentals of production logistics: Theory, tools and applications",2009,"Fundamentals of Production Logistics: Theory, Tools and Applications",Book,CHILD
"Govindan, K., Soleimani, H., Kannan, D.",Reverse logistics and closed-loop supply chain: A comprehensive review to explore the future,2015,European Journal of Operational Research,Review,CHILD
"Carter, C.R., Ellram, L.M.",Reverse logistics: A review of the literature and framework for future investigation,1998,Journal of Business Logistics,Article,CHILD
"Prajogo, D., Olhager, J.","Supply chain integration and performance: The effects of long-term relationships, information technology and sharing, and logistics integration",2012,International Journal of Production Economics,Article,CHILD
OECD,The Next Production Revolution. Implications for Governments and Business,2017,The Next Production Revolution: Implications for Governments and Business,Article,CHILD
"Lasi, H., Fettke, P., Kemper, H.-G., Feld, T., Hoffmann, M.",Industry 4.0,2014,Business and Information Systems Engineering,Article,CHILD
"Kagermann, H., Helbig, J., Hellinger, A., Wahlster, W.",Recommendations for implementing the strategic initiative Industrie 4.0,2013,Final Report of the Industrie 4.0 Working Group,Article,CHILD
"Hermann, M., Pentek, T., Otto, B.",Design principles for industrie 4.0 scenarios,2016,Proceedings of the Annual Hawaii International Conference on System Sciences,Conference Paper,CHILD
"McFarlane, D., Sarma, S., Chirn, J.L., Wong, C.Y., Ashton, K.",Auto ID systems and intelligent manufacturing control,2003,Engineering Applications of Artificial Intelligence,Conference Paper,CHILD
