Author,Title,Year,Source Title,Document Type,FAMILY_TYPE
"Manochehri N.-N., Al-Esmail R.A., Ashrafi R.",Examining the impact of information and communication technologies (ICT) on enterprise practices: A preliminary perspective from Qatar,2012,Electronic Journal of Information Systems in Developing Countries,Article,PARENT
"Abdallah S., Albadri F.A.",A perspective on ICT diffusion in the Arab region,2010,"ICT Acceptance, Investment and Organization: Cultural Practices and Values in the Arab World",Book Chapter,CHILD
Al-Assaf Y.,Computer-Based Information Systems in the Role of Information Technology Manager in Saudi Arabia,1997,Computer-Based Information Systems in the Role of Information Technology Manager in Saudi Arabia,,CHILD
"Ashrafi R., Murtaza M.",Use and impact of ICT on SMEs in Oman,2008,Electronic Journal Information Systems Evaluation,,CHILD
"Bodla M.A., Rashid M.A.","Technology Adoption in Islamic World, Problems and Prospects",2005,International Conference on Contemporary Issues in Information Technology in OIC Member States,,CHILD
"Shehadi R., Bitar J., Khoury R.","Fast, Lean and Agile: How GCC Governments Can Make the Most of ICT Investments",2010,"Fast, Lean, and Agile: How GCC Governments Can Make the Most of ICT Investments",,CHILD
"Bortolotti B., D'Souza J., Fantini M., Megginson W.L.",Privatization and the sources of performance improvement in the global telecommunications industry,2002,Telecommunications Policy,Conference Paper,CHILD
Chibelushi C.,"ICT industry challenges in Adopting ICT: A case study from the West Midlands, UK",2008,International Conference on Information Resources Management,,CHILD
Clift S.,"E-Democracy, E-Governance and Public Net-Work",2003,"E-Democracy, E-Governance and Public Net-Work",,CHILD
Gable G.G.,Integrating case study and survey research methods: An example in information systems,1994,European Journal of Information Systems,,CHILD
Hamade S.N.,Information and communication technology in Arab countries: Problems and solutions,2009,ITNG 2009 - 6th International Conference on Information Technology: New Generations,Conference Paper,CHILD
"Harindranath G., Dyerson R., Barnes D.",ICT Adoption and Use in UK SMEs: A Failure of Initiatives?,2008,The Electronic Journal Information Systems Evaluation,,CHILD
Jelassi T.,Ict in tunisia: A strategic lever for building a knowledge-based economy,2010,Global Information Technology Report 2009-2010,,CHILD
Iimi A.,Effects of Improving Infrastructure Quality on Business Costs: Evidence From Firm-level Data,2008,Policy Research Working Paper,,CHILD
"Mofleh S., Wanous M., Strachan P.",Developing countries and ICT initiatives: Lessons learnt from Jordan's experience,2008,The Electronic Journal on Information Systems in Developing Countries,,CHILD
"Mohr J.J., Shooshtari N.H.",Introduction to the special issue: Marketing of high-technology products and innovations,2003,Journal of Marketing Theory and Practice,,CHILD
