Authors,Title,Year,Source title,Link,Document Type,Source
"Yin R.K.",[No title available],1994,"Case Study Research: Design and Methods",,,Scopus
"Hair J.F., Anderson R.E., Tatham R.L., Black W.C.",[No title available],1995,"Multivariate Data Analysis",,,Scopus
"Strauss A., Corbin J.",[No title available],1998,"Basics of Qualitative Research: Techniques and Procedures for Developing Grounded Theory",,,Scopus
"Patton M.Q.",[No title available],1990,"Qualitative Evaluation and Research Methods",,,Scopus
"Fornell C., Larcker D.F.","Evaluating structural equation models with unobservable variables and measurement error",1981,"Journal of Marketing Research",,,Scopus
"Rogers E.M.",[No title available],1995,"Diffusion of Innovations",,,Scopus
"Podsakoff P.M., MacKenzie S.B., Lee J.-Y., Podsakoff N.P.","Common Method Biases in Behavioral Research: A Critical Review of the Literature and Recommended Remedies",2003,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141907688&doi=10.1037%2f0021-9010.88.5.879&partnerID=40&md5=b94b2abc9bf1d6dbdafe9184dcf66441",Review,Scopus
"Creswell J.W.","Qualitative inquiry and research design: Choosing among five traditions",1998,"Qualitative Inquiry and Research Design: Choosing Among Five Traditions",,,Scopus
"Lave J., Wenger E.",[No title available],1991,"Situated Learning: Legitimate Peripheral Participation",,,Scopus
"Barney J.","Firm Resources and Sustained Competitive Advantage",1991,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896930624&doi=10.1177%2f014920639101700108&partnerID=40&md5=ad9be229af0563c55c4fb54a2eff01f5",Article,Scopus
"Davis F.D.","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249087535&doi=10.2307%2f249008&partnerID=40&md5=077d6bd1380e7553fd4c6d49f4f5bcf7",Article,Scopus
"Fishbein M., Ajzen I.",[No title available],1975,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research",,,Scopus
"Eisenhardt K.M.","Building theories from case study research",1989,"Academy of Management Review",,,Scopus
"Cronbach L.J.","Coefficient alpha and the internal structure of tests",1951,"Psychometrika","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845945922&doi=10.1007%2fBF02310555&partnerID=40&md5=70c1840d9ab24b100e6d92a537ad117c",Article,Scopus
"North D.C.",[No title available],1990,"Institutions, Institutional Change and Economic Performance",,,Scopus
"Wenger E.","Communities of practice: Learning, meaning and identity",1998,"Communities of Practice: Learning, Meaning, and Identity",,,Scopus
"Wooldridge J.M.",[No title available],2002,"Econometric Analysis of Cross Section and Panel Data",,,Scopus
"DiMaggio P.J., Powell W.W.","The iron cage revisited: Institutional isomorphism and collective rationality in organizational fields",1983,"American Sociological Review",,,Scopus
"Nonaka I., Takeuchi H.",[No title available],1995,"The Knowledge-Creating Company",,,Scopus
"Hofstede G.","Cultures and organizations: Software of the mind",1991,"Cultures and Organizations: Software of the Mind",,,Scopus
"Charnes A., Cooper W.W., Rhodes E.","Measuring the efficiency of decision making units",1978,"European Journal of Operational Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018032112&doi=10.1016%2f0377-2217%2878%2990138-8&partnerID=40&md5=b7af84f113002a1f6144f496cb58031f",Article,Scopus
"Venkatesh V., Morris M.G., Davis G.B., Davis F.D.","User acceptance of information technology: Toward a unified view",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542382496&doi=10.2307%2f30036540&partnerID=40&md5=0145eeee9ddb1678e81b29817475e16c",Article,Scopus
"Sen A.",[No title available],1999,"Development as Freedom",,,Scopus
"Castells M.",[No title available],1996,"The Rise of the Network Society",,,Scopus
"Giddens A.",[No title available],1990,"The Consequences of Modernity",,,Scopus
"Porter M.E.",[No title available],1985,"Competitive Advantage: Creating and Sustaining Superior Performance",,,Scopus
"Meyer J.W., Rowan B.","Institutionalized organizations: Formal structure as myth and ceremony",1977,"American Journal of Sociology",,,Scopus
"Schein E.H.",[No title available],1985,"Organizational Culture and Leadership",,,Scopus
"Davis F.D., Bagozzi R.P., Warshaw P.R.","User acceptance of computer technology: A comparison of two theoretical models",1989,"Management Science",,,Scopus
"Scott W.R.",[No title available],1995,"Institutions and Organizations",,,Scopus
"Garfinkel H.",[No title available],1967,"Studies in Ethnomethodology",,,Scopus
"Nonaka I.","A dynamic theory of organizational knowledge creation",1994,"Organization Science",,,Scopus
"Gadamer H.-G.",[No title available],1975,"Truth and Method",,,Scopus
"Latour B.",[No title available],1987,"Science in Action: How to Follow Scientists and Engineers Through Society",,,Scopus
"Banker R.D., Charnes A., Cooper W.W.","SOME MODELS FOR ESTIMATING TECHNICAL AND SCALE INEFFICIENCIES IN DATA ENVELOPMENT ANALYSIS.",1984,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021497874&doi=10.1287%2fmnsc.30.9.1078&partnerID=40&md5=1966a7380cfccf7f59fc22970b1f2f4a",Article,Scopus
"Harvey D.",[No title available],1989,"The Condition of Postmodernity",,,Scopus
"Porter M.E.",[No title available],1980,"Competitive Strategy: Techniques for Analyzing Industries and Competitors",,,Scopus
"Maxwell J.A.",[No title available],1996,"Qualitative Research Design: An Interactive Approach",,,Scopus
"DeLone W.H., McLean E.R.","The DeLone and McLean model of information systems success: A ten-year update",2003,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037368865&doi=10.1080%2f07421222.2003.11045748&partnerID=40&md5=3c08f96c96a1b5d5be9cb589ea4ac464",Conference Paper,Scopus
"DeLone W.H., McLean E.R.","Information systems success: The quest for the dependent variable",1992,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249114849&doi=10.1287%2fisre.3.1.60&partnerID=40&md5=648fb88a25e8c62b24d9e517028c9b5b",Article,Scopus
"Lillesand T.M., Kiefer R.W.","Remote sensing and image interpretation.",1979,"Remote sensing and image interpretation.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040139316&partnerID=40&md5=41ad63b5353c1a151115fdecfe8fa0f3",Article,Scopus
"Star S.L., Griesemer J.R.","Institutional Ecology, ‘Translations’ and Boundary Objects: Amateurs and Professionals in Berkeley's Museum of Vertebrate Zoology, 1907–39",1989,"Social Studies of Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970642045&doi=10.1177%2f030631289019003001&partnerID=40&md5=915d6a95a4990c2dfab211de4803d736",Article,Scopus
"Giddens A.",[No title available],1984,"The Constitution of Society",,,Scopus
"Flyvbjerg B.","Five misunderstandings about case-study research",2006,"Qualitative Inquiry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645708913&doi=10.1177%2f1077800405284363&partnerID=40&md5=d8d359e79ad2b470c329730e1b81e4e7",Article,Scopus
"Peteraf M.A.","The cornerstones of competitive advantage: A resource‐based view",1993,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989113324&doi=10.1002%2fsmj.4250140303&partnerID=40&md5=283e254be544798927bc68e5c3ae1917",Article,Scopus
"MacCallum R.C., Browne M.W., Sugawara H.M.","Power analysis and determination of sample size for covariance structure modeling",1996,"Psychological Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013118140&doi=10.1037%2f1082-989X.1.2.130&partnerID=40&md5=dc1b9b5194cf8aae3bb982562c129846",Article,Scopus
"Foucault M.",[No title available],1973,"The Birth of the Clinic: An Archaeology of Medical Perception",,,Scopus
"Silverman D.",[No title available],2000,"Doing Qualitative Research",,,Scopus
"Bowker G.C., Star S.L.",[No title available],1999,"Sorting Things Out: Classification and Its Consequences",,,Scopus
"Hall E.T.","Beyond culture",1976,"Beyond Culture",,,Scopus
"Suchman L.",[No title available],1987,"Plans and Situated Actions",,,Scopus
"Brown J.S., Duguid P.","Organizational learning and communities-of-practice: Toward a unified view of working, learning, and innovation",1991,"Organization Science",,,Scopus
"Habermas J.",[No title available],1971,"Knowledge and Human Interests",,,Scopus
"Mood A.M., Graybill F.A., Boes D.C.",[No title available],1974,"Introduction to the Theory of Statistics",,,Scopus
"Mason J.","Qualitative researching",1996,"Qualitative Researching",,,Scopus
"Bass F.M.","A new product growth model for consumer durables",1969,"Management Science",,,Scopus
"Yin R.K.",[No title available],1993,"Applications of Case Study Research",,,Scopus
"Chin W.W.","Issues and opinion on structural equation modeling",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002042337&partnerID=40&md5=4385da2ebfbe717f06324e00e6ab9a99",Review,Scopus
"Engeström Y.","Learning by expanding: An activity-theoretical approach to developmental research",1987,"Learning by Expanding: An Activity-Theoretical Approach to Developmental Research",,,Scopus
"Tobin J.","Estimation of relationships for limited dependent variables",1958,"Econometrica",,,Scopus
"Nonaka I.","The knowledge-creating company",1991,"Harvard Business Review",,,Scopus
"Shapiro C., Varian H.R.","Information rules: A strategic guide to the network economy",1999,"Information Rules: A Strategic Guide to the Network Economy",,,Scopus
"Perrow C.",[No title available],1999,"Normal Accidents: Living with High-Risk Technologies",,,Scopus
"Latour B.",[No title available],1987,"Science in Action",,,Scopus
"Davis F.D.","A technology acceptance model for empirically testing new end-user information systems: Theory and results",1986,"A Technology Acceptance Model for Empirically Testing New End-user Information Systems: Theory and Results",,,Scopus
"Klein H.K., Myers M.D.","A set of principles for conducting and evaluating interpretive field studies in information systems",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001946339&doi=10.2307%2f249410&partnerID=40&md5=18a010339a901019fab06052a5bd0304",Article,Scopus
"Zuboff S.",[No title available],1988,"In the Age of the Smart Machine: The Future of Work and Power",,,Scopus
"Child J.","Organizational Structure, Environment and Performance: The Role of Strategic Choice",1972,"Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744870364&doi=10.1177%2f003803857200600101&partnerID=40&md5=bffd001d84df913c45aaa4e8ec9471dc",Article,Scopus
"Escobar A.","Encountering development: The making and unmaking of the third world",2011,"Encountering Development: The Making and Unmaking of the Third World","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879019389&partnerID=40&md5=7d30d5e5a07e29d83eca502f882594fe",Book,Scopus
"Bijker W.E., Hughes T.P., Pinch T.J.",[No title available],1987,"The Social Construction of Technological Systems",,,Scopus
"Bharadwaj A.S.","A resource-based perspective on information technology capability and firm performance: An empirical investigation",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744285772&doi=10.2307%2f3250983&partnerID=40&md5=0300f008ef53b7414fe7f91697e9d826",Article,Scopus
"Benbasat I., Goldstein D.K., Mead M.","The case research strategy in studies of information systems",1987,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249084997&doi=10.2307%2f248684&partnerID=40&md5=3f8c543931b9a67b0b86da050bc87e9d",Article,Scopus
"Lee H.L., Padmanabhan V., Whang S.","Information distortion in a supply chain: The bullwhip effect",1997,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031108822&doi=10.1287%2fmnsc.43.4.546&partnerID=40&md5=df71e1efd92918d97406f1d87598d928",Article,Scopus
"Amit R., Zott C.","Value creation in e-business",2001,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000355662&doi=10.1002%2fsmj.187&partnerID=40&md5=5646f20084318501affee5d24425b667",Article,Scopus
"Checkland P., Scholes J.",[No title available],1990,"Soft Systems Methodology in Action",,,Scopus
"Porter M.E., Millar V.E.","How information gives you competitive advantage",1985,"Harvard Business Review",,,Scopus
"Orlikowski W.J.","The duality of technology: Rethinking the concept of technology in organizations",1992,"Organization Science",,,Scopus
"Friedland R., Alford R.R.","Bringing society back in: Symbols, practices, and institutional contradictions",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Hoskisson R.E., Eden L., Lau C.M., Wright M.","Strategy in emerging economies",2000,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034339396&doi=10.2307%2f1556394&partnerID=40&md5=f7a591395ed4bce733cec59ca9dbf0af",Article,Scopus
"Date C.J.",[No title available],1995,"An Introduction to Database Systems",,,Scopus
"Tushman M.L., O'Reilly III C.A.","Ambidextrous organizations: Managing evolutionary and revolutionary change",1996,"California Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030517795&doi=10.2307%2f41165852&partnerID=40&md5=784ae9e5fbe34aa2378233610baac660",Article,Scopus
"Mathieson K.","Predicting user intentions: Comparing the technology acceptance model with the theory of planned behavior",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549114871&doi=10.1287%2fisre.2.3.173&partnerID=40&md5=7f749d91c6ef4f05e6b912a23d3fecb4",Article,Scopus
"Walsham G.","Interpretive case studies in IS research: Nature and method",1995,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974872728&doi=10.1057%2fejis.1995.9&partnerID=40&md5=68b28dc9a82475cc348cf63157188677",Article,Scopus
"Porter M.E.","Strategy and the Internet.",2001,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035289645&partnerID=40&md5=ca49945199d256e5c1c43994dd478458",Article,Scopus
